segmentnr	original	folio	analyzed
ZH_X16_0311_001:0377a24	初句標牒。智下釋義二。先引證。如須彌下喻也。念	001	初 句 標 牒  智 下 釋 義 二  先 引 證  如 須 彌 下 喻 也  念 
ZH_X16_0311_001:0377b01	佛下合也。一下次正釋。楞嚴云。初心入三昧遲速	001	佛 下 合 也  一 下 次 正 釋  楞 嚴 云  初 心 入 三 昧 遲 速 
ZH_X16_0311_001:0377b02	不同倫。故知餘門學道紆迴險難。猶如蟻山。念佛	001	不 同 倫  故 知 餘 門 學 道 紆 迴 險 難  猶 如 蟻 山  念 佛 
ZH_X16_0311_001:0377b03	一門。古稱徑路。好似風水。善導云。唯有徑路修行。	001	一 門  古 稱 徑 路  好 似 風 水  善 導 云  唯 有 徑 路 修 行  
ZH_X16_0311_001:0377b04	但念阿彌陀佛。況今持名。徑而又徑者也。若欲一	001	但 念 阿 彌 陀 佛  況 今 持 名  徑 而 又 徑 者 也  若 欲 一 
ZH_X16_0311_001:0377b05	生取辦。當於是法留心。二下。觀經云。是心作佛。是	001	生 取 辦  當 於 是 法 留 心  二 下  觀 經 云  是 心 作 佛  是 
ZH_X16_0311_001:0377b06	心是佛。諸佛正徧知海從心想生。是故教人念佛。	001	心 是 佛  諸 佛 正 徧 知 海 從 心 想 生  是 故 教 人 念 佛  
ZH_X16_0311_001:0377b07	即念自心佛也。三下。佛心性者。楞嚴云。我以不滅	001	即 念 自 心 佛 也  三 下  佛 心 性 者  楞 嚴 云  我 以 不 滅 
ZH_X16_0311_001:0377b08	不生合如來藏。而如來藏唯妙覺明圓照法界。無	001	不 生 合 如 來 藏  而 如 來 藏 唯 妙 覺 明 圓 照 法 界  無 
ZH_X16_0311_001:0377b09	差別論云。此心性明潔。與法界同體如來依此心。	001	差 別 論 云  此 心 性 明 潔  與 法 界 同 體 如 來 依 此 心  
ZH_X16_0311_001:0377b10	說不思議法。則知佛以如來藏淨法性為心也。令	001	說 不 思 議 法  則 知 佛 以 如 來 藏 淨 法 性 為 心 也  令 
ZH_X16_0311_001:0377b11	悟入者。起信云。真如自體相者。凡夫諸佛。無有增	001	悟 入 者  起 信 云  真 如 自 體 相 者  凡 夫 諸 佛  無 有 增 
ZH_X16_0311_001:0377b12	減。楞嚴富樓那言。我與如來寶覺圓明真妙淨心	001	減  楞 嚴 富 樓 那 言  我 與 如 來 寶 覺 圓 明 真 妙 淨 心 
ZH_X16_0311_001:0377b13	無二圓滿。觀經云。汝等心想佛時。是心即是三十	001	無 二 圓 滿  觀 經 云  汝 等 心 想 佛 時  是 心 即 是 三 十 
ZH_X16_0311_001:0377b14	二相八十隨形好。是故眾生念心佛時。即能悟入	001	二 相 八十隨形好  是 故 眾 生 念 心 佛 時  即 能 悟 入 
ZH_X16_0311_001:0377b15	佛心性也。四下。無差別論云。眾生界不異法身。法	001	佛 心 性 也  四 下  無 差 別 論 云  眾 生 界 不 異 法 身  法 
ZH_X16_0311_001:0377b16	身即是眾生界。觀經云。諸佛如來是法界身。入一	001	身 即 是 眾 生 界  觀 經 云  諸佛如來 是 法 界 身  入 一 
ZH_X16_0311_001:0377b17	切眾生心想中。下云。若眾生心憶佛。現前必定見	001	切 眾 生 心 想 中  下 云  若 眾 生 心 憶 佛  現 前 必 定 見 
ZH_X16_0311_001:0377b18	佛。則此法門。能顯心佛眾生三無差別也。五下。凡	001	佛  則 此 法 門  能 顯 心 佛 眾 生 三無差別 也  五 下  凡 
ZH_X16_0311_001:0377b19	夫外道。由見思惑。起業感報。輪轉不休。依餘法修。	001	夫 外 道  由 見 思 惑  起 業 感 報  輪 轉 不 休  依 餘 法 修  
ZH_X16_0311_001:0377b20	直至惑盡。始得出離。名為竪出三界。唯念佛門。帶	001	直 至 惑 盡  始 得 出 離  名 為 竪 出 三 界  唯 念 佛 門  帶 
ZH_X16_0311_001:0377b21	惑往生。名為橫出三界。如蟲在竹。竪則歷節難通。	001	惑 往 生  名 為 橫 出 三 界  如 蟲 在 竹  竪 則 歷 節 難 通  
ZH_X16_0311_001:0377b22	橫則一時透脫。桐江法師云。竪出者。依諦緣度。歷	001	橫 則 一 時 透 脫  桐 江 法 師 云  竪 出 者  依 諦 緣 度  歷 
ZH_X16_0311_001:0377b23	涉地位。如取科第。須有才學。如歷任轉官。須有功	001	涉 地 位  如 取 科 第  須 有 才 學  如 歷 任 轉 官  須 有 功 
ZH_X16_0311_001:0377b24	効。橫出者。念佛法門。如人廕敘功由祖父他力。不	001	効  橫 出 者  念 佛 法 門  如 人 廕 敘 功 由 祖 父 他 力  不 
ZH_X16_0311_001:0377c01	論學問有無。又如覃恩普轉功由國王不論歷任	001	論 學 問 有 無  又 如 覃 恩 普 轉 功 由 國 王 不 論 歷 任 
ZH_X16_0311_001:0377c02	淺深。六下。菩薩六心墮落聲聞。塵劫不迴。猶菴羅	001	淺 深  六 下  菩 薩 六 心 墮 落 聲 聞  塵 劫 不 迴  猶 菴 羅 
ZH_X16_0311_001:0377c03	華魚子一般。因中雖多。結果者少。若能念佛。圓發	001	華 魚 子 一 般  因 中 雖 多  結 果 者 少  若 能 念 佛  圓 發 
ZH_X16_0311_001:0377c04	三心。自然轉權成實。迴小向大。如彼白衣驟貴平	001	三 心  自 然 轉 權 成 實  迴 小 向 大  如 彼 白 衣 驟 貴 平 
ZH_X16_0311_001:0377c05	地舛仙者然。故大本云。菩薩欲令眾生速疾安住	001	地 舛 仙 者 然  故 大 本 云  菩 薩 欲 令 眾 生 速 疾 安 住 
ZH_X16_0311_001:0377c06	無上菩提者。應當起精進力聽此法門。又華嚴十	001	無上菩提 者  應 當 起 精 進 力 聽 此 法 門  又 華 嚴 十 
ZH_X16_0311_001:0377c07	地。始終不離念佛。圓教登地尚爾。況權小初心人	001	地  始 終 不 離 念 佛  圓 教 登 地 尚 爾  況 權 小 初 心 人 
ZH_X16_0311_001:0377c08	耶。七下。上品利根。聞小教則悔。下品鈍根。聞大教	001	耶  七 下  上 品 利 根  聞 小 教 則 悔  下 品 鈍 根  聞 大 教 
ZH_X16_0311_001:0377c09	則疑。所以華嚴會上聲聞絕分。阿含時中菩薩不	001	則 疑  所 以 華 嚴 會 上 聲 聞 絕 分  阿 含 時 中 菩 薩 不 
ZH_X16_0311_001:0377c10	被。今此念佛一法如萬應膏毒病皆愈。似及時雨	001	被  今 此 念 佛 一 法 如 萬 應 膏 毒 病 皆 愈  似 及 時 雨 
ZH_X16_0311_001:0377c11	藥木竝茂。故得利鈍盡攝上下均収也。八下。利今	001	藥 木 竝 茂  故 得 利 鈍 盡 攝 上 下 均 収 也  八 下  利 今 
ZH_X16_0311_001:0377c12	即佛在機宜。利後即滅後聞見。下云。今於此界。攝	001	即 佛 在 機 宜  利 後 即 滅 後 聞 見  下 云  今 於 此 界  攝 
ZH_X16_0311_001:0377c13	念佛人。歸於淨土。觀經云。如來今者為未來世一	001	念 佛 人  歸 於 淨 土  觀 經 云  如 來 今 者 為 未 來 世 一 
ZH_X16_0311_001:0377c14	切眾生。為煩惱賊之所害者。說清淨業。故如如意	001	切 眾 生  為 煩 惱 賊 之 所 害 者  說 清 淨 業  故 如 如 意 
ZH_X16_0311_001:0377c15	珠。利濟無盡也。九下。一切眾生。迷常住心。用諸妄	001	珠  利 濟 無 盡 也  九 下  一 切 眾 生  迷 常 住 心  用 諸 妄 
ZH_X16_0311_001:0377c16	想循諸色聲。違圓通境。今念佛也。六根都攝。守於	001	想 循 諸 色 聲  違 圓 通 境  今 念 佛 也  六 根 都 攝  守 於 
ZH_X16_0311_001:0377c17	真常。常光現前。圓通境發。雖不欲證不可得也。故	001	真 常  常 光 現 前  圓 通 境 發  雖 不 欲 證 不 可 得 也  故 
ZH_X16_0311_001:0377c18	華嚴解脫長者云。知一切佛猶如影像。自心如水。	001	華 嚴 解 脫 長 者 云  知 一 切 佛 猶 如 影 像  自 心 如 水  
ZH_X16_0311_001:0377c19	水清而靜。月現全體。又偈云。菩薩清凉月。常遊畢	001	水 清 而 靜  月 現 全 體  又 偈 云  菩 薩 清 凉 月  常 遊 畢 
ZH_X16_0311_001:0377c20	竟空。眾生心垢淨。菩薩影現中。則知眾生淨念。彌	001	竟 空  眾 生 心 垢 淨  菩 薩 影 現 中  則 知 眾 生 淨 念  彌 
ZH_X16_0311_001:0377c21	陀定放光明。心水不淨。菩薩圓通月境亦不現矣。	001	陀 定 放 光 明  心 水 不 淨  菩 薩 圓 通 月 境 亦 不 現 矣  
ZH_X16_0311_001:0377c22	十下。末法修行。多諸障難。邪魔嬈亂。佛道難成。今	001	十 下  末 法 修 行  多 諸 障 難  邪 魔 嬈 亂  佛 道 難 成  今 
ZH_X16_0311_001:0377c23	修念佛三昧。承佛願力威神。疾除煩惱。頓破無明。	001	修 念佛三昧  承 佛 願 力 威 神  疾 除 煩 惱  頓 破 無 明  
ZH_X16_0311_001:0377c24	五蘊魔銷。三身佛現。當生極樂佛土。成真應二果	001	五 蘊 魔 銷  三 身 佛 現  當 生 極 樂 佛 土  成 真 應 二 果 
ZH_X16_0311_001:0378a01	矣。如大明燈然於室中。不唯破千年暗。而且見種	001	矣  如 大 明 燈 然 於 室 中  不 唯 破 千 年 暗  而 且 見 種 
ZH_X16_0311_001:0378a02	種物。然此十因。生起有序。初以入道多門難易各	001	種 物  然 此 十 因  生 起 有 序  初 以 入 道 多 門 難 易 各 
ZH_X16_0311_001:0378a03	別。出念佛法最為徑捷。二所以徑捷者。為念自心	001	別  出 念 佛 法 最 為 徑 捷  二 所 以 徑 捷 者  為 念 自 心 
ZH_X16_0311_001:0378a04	佛故。三由念心佛。方能成佛心故。四佛心若契。生	001	佛 故  三 由 念 心 佛  方 能 成 佛 心 故  四 佛 心 若 契  生 
ZH_X16_0311_001:0378a05	佛同體無有二故。五既無二別。豈有凡外不度脫	001	佛 同 體 無 有 二 故  五 既 無 二 別  豈 有 凡 外 不 度 脫 
ZH_X16_0311_001:0378a06	故。六豈獨凡外。亦接權小人故。七豈唯五乘。亦充	001	故  六 豈 獨 凡 外  亦 接 權 小 人 故  七 豈 唯 五 乘  亦 充 
ZH_X16_0311_001:0378a07	足一切善惡眾生故。八豈但現今。亦普利未來無	001	足 一 切 善 惡 眾 生 故  八 豈 但 現 今  亦 普 利 未 來 無 
ZH_X16_0311_001:0378a08	有盡故。九濟度如是廣大者。為圓通故。十有作之	001	有 盡 故  九 濟 度 如 是 廣 大 者  為 圓 通 故  十 有 作 之 
ZH_X16_0311_001:0378a09	修。終成敗壞。現既圓通。當必見佛歸淨土故。又由	001	修  終 成 敗 壞  現 既 圓 通  當 必 見 佛 歸 淨 土 故  又 由 
ZH_X16_0311_001:0378a10	定生佛土。所以指出捷徑門路。令預修行疾成佛	001	定 生 佛 土  所 以 指 出 捷 徑 門 路  令 預 修 行 疾 成 佛 
ZH_X16_0311_001:0378a11	故。如此終始連環。猶同鈎鎖。此教之興。非無因也。	001	故  如 此 終 始 連 環  猶 同 鈎 鎖  此 教 之 興  非 無 因 也  
ZH_X16_0311_001:0378a12	△二藏攝。	001	 二 藏 攝  
ZH_X16_0311_001:0378a13	二藏乘教攝者。謂三藏之中。契經藏攝。二藏之內。菩	001	二 藏 乘 教 攝 者  謂 三 藏 之 中  契 經 藏 攝  二 藏 之 內  菩 
ZH_X16_0311_001:0378a14	薩藏攝。三乘之中。大乘所攝。五教之內。後三教攝。	001	薩 藏 攝  三 乘 之 中  大 乘 所 攝  五 教 之 內  後 三 教 攝  
ZH_X16_0311_001:0378a15	二句標章。謂下釋相。三藏者。一修多羅。此云契經。	001	二 句 標 章  謂 下 釋 相  三 藏 者  一 修 多 羅  此 云 契 經  
ZH_X16_0311_001:0378a16	即經藏。詮於定學。二毗奈耶。此云調伏。即律藏。詮	001	即 經 藏  詮 於 定 學  二 毗 奈 耶  此 云 調 伏  即 律 藏  詮 
ZH_X16_0311_001:0378a17	於戒學。三阿毗達磨。此云對法。即論藏。詮於慧學。	001	於 戒 學  三 阿 毗 達 磨  此 云 對 法  即 論 藏  詮 於 慧 學  
ZH_X16_0311_001:0378a18	今此經者。屬於經藏。自始至終。專說念佛三昧故。	001	今 此 經 者  屬 於 經 藏  自 始 至 終  專 說 念佛三昧 故  
ZH_X16_0311_001:0378a19	二藏者。一菩薩藏。詮示菩薩理行果故。二聲聞藏。	001	二 藏 者  一 菩 薩 藏  詮 示 菩 薩 理 行 果 故  二 聲 聞 藏  
ZH_X16_0311_001:0378a20	詮示聲聞理行果故。今此經者。屬菩薩藏。此經演	001	詮 示 聲 聞 理 行 果 故  今 此 經 者  屬 菩 薩 藏  此 經 演 
ZH_X16_0311_001:0378a21	說菩薩念佛圓通法故。三乘者。一小乘聲聞。謂四	001	說 菩 薩 念 佛 圓 通 法 故  三 乘 者  一 小 乘 聲 聞  謂 四 
ZH_X16_0311_001:0378a22	諦法門。運載眾生。出於三界。到涅槃城。成阿羅漢。	001	諦 法 門  運 載 眾 生  出 於 三 界  到 涅 槃 城  成 阿 羅 漢  
ZH_X16_0311_001:0378a23	猶如羊車。二中乘緣覺。謂因緣法門。運載眾生。過	001	猶 如 羊 車  二 中 乘 緣 覺  謂 因 緣 法 門  運 載 眾 生  過 
ZH_X16_0311_001:0378a24	於四空。居寂滅舍。成辟支佛。猶如鹿車。三大乘菩	001	於 四 空  居 寂 滅 舍  成 辟 支 佛  猶 如 鹿 車  三 大 乘 菩 
ZH_X16_0311_001:0378b01	薩。謂六度法門。運載眾生。超凡小境。直至無上菩	001	薩  謂 六 度 法 門  運 載 眾 生  超 凡 小 境  直 至 無 上 菩 
ZH_X16_0311_001:0378b02	提大般涅槃彼岸。成於佛果。猶如牛車。今此經者。	001	提 大 般 涅 槃 彼 岸  成 於 佛 果  猶 如 牛 車  今 此 經 者  
ZH_X16_0311_001:0378b03	屬於大乘。以如來憐念眾生。勢至攝念佛人。安樂	001	屬 於 大 乘  以 如 來 憐 念 眾 生  勢 至 攝 念 佛 人  安 樂 
ZH_X16_0311_001:0378b04	諸乘。度脫九界故。五教者。一小教。唯談人空故。二	001	諸 乘  度 脫 九 界 故  五 教 者  一 小 教  唯 談 人 空 故  二 
ZH_X16_0311_001:0378b05	始教。但明法空故。亦名分教。但說法相故。三終教。	001	始 教  但 明 法 空 故  亦 名 分 教  但 說 法 相 故  三 終 教  
ZH_X16_0311_001:0378b06	復說中道故。亦名實教。多談法性故。四頓教。唯辨	001	復 說 中 道 故  亦 名 實 教  多 談 法 性 故  四 頓 教  唯 辨 
ZH_X16_0311_001:0378b07	真性故。五圓教。唯說法界故。今此經者。屬後三教。	001	真 性 故  五 圓 教  唯 說 法 界 故  今 此 經 者  屬 後 三 教  
ZH_X16_0311_001:0378b08	下云。二憶念深。母子歷生不相違遠。終也。漸漸念	001	下 云  二 憶 念 深  母 子 歷 生 不 相 違 遠  終 也  漸 漸 念 
ZH_X16_0311_001:0378b09	時終當成佛故。下云。以念佛心。入無生忍。不假方	001	時 終 當 成 佛 故  下 云  以 念 佛 心  入 無 生 忍  不 假 方 
ZH_X16_0311_001:0378b10	便。頓也。知佛即心。疾成佛道故。下云。都攝六根。淨	001	便  頓 也  知 佛 即 心  疾 成 佛 道 故  下 云  都 攝 六 根  淨 
ZH_X16_0311_001:0378b11	念相繼。得三摩地。圓也。了三無別。圓通法界故。準	001	念 相 繼  得 三 摩 地  圓 也  了 三 無 別  圓 通 法 界 故  準 
ZH_X16_0311_001:0378b12	知此經教義深廣幽遠。非淺近矣。△三宗趣。	001	知 此 經 教 義 深 廣 幽 遠  非 淺 近 矣   三 宗 趣  
ZH_X16_0311_001:0378b13	三宗趣旨歸者。有總有別。總以憶佛念佛為宗。見佛	001	三 宗 趣 旨 歸 者  有 總 有 別  總 以 憶 佛 念 佛 為 宗  見 佛 
ZH_X16_0311_001:0378b14	入忍心境圓通為趣。別有五對。一教義。以教說為宗。	001	入 忍 心 境 圓 通 為 趣  別 有 五 對  一 教 義  以 教 說 為 宗  
ZH_X16_0311_001:0378b15	令達義為趣。二事理。舉事相為宗。詮顯理為趣。三境	001	令 達 義 為 趣  二 事 理  舉 事 相 為 宗  詮 顯 理 為 趣  三 境 
ZH_X16_0311_001:0378b16	智。三佛境為宗。二觀智為趣。四行位。信願行為宗。入	001	智  三 佛 境 為 宗  二 觀 智 為 趣  四 行 位  信 願 行 為 宗  入 
ZH_X16_0311_001:0378b17	不退為趣。五因果。以因行為宗。克果德為趣。	001	不 退 為 趣  五 因 果  以 因 行 為 宗  克 果 德 為 趣  
ZH_X16_0311_001:0378b18	三句牒門。謂宗旨歸趣也。當經所崇曰宗。宗之所	001	三 句 牒 門  謂 宗 旨 歸 趣 也  當 經 所 崇 曰 宗  宗 之 所 
ZH_X16_0311_001:0378b19	歸曰趣。若不識宗。無從趣向矣。有下釋義。教說者。	001	歸 曰 趣  若 不 識 宗  無 從 趣 向 矣  有 下 釋 義  教 說 者  
ZH_X16_0311_001:0378b20	即念佛教門也。達義者。謂了達教中所詮心境緣	001	即 念 佛 教 門 也  達 義 者  謂 了 達 教 中 所 詮 心 境 緣 
ZH_X16_0311_001:0378b21	念。生佛感應。染香入忍。自他生土之義也。事理義	001	念  生 佛 感 應  染 香 入 忍  自 他 生 土 之 義 也  事 理 義 
ZH_X16_0311_001:0378b22	中所具者。謂崇尚念佛等事。其意云何。正欲彰顯	001	中 所 具 者  謂 崇 尚 念 佛 等 事  其 意 云 何  正 欲 彰 顯 
ZH_X16_0311_001:0378b23	彌陀自性淨土唯心之至理也。境智理內開者。境	001	彌 陀 自 性 淨 土 唯 心 之 至 理 也  境 智 理 內 開 者  境 
ZH_X16_0311_001:0378b24	即所觀之理。智是能觀之心。佛之圓融三身真境	001	即 所 觀 之 理  智 是 能 觀 之 心  佛 之 圓 融 三 身 真 境 
ZH_X16_0311_001:0378c01	也。事一心。理一心。真觀也。行位隨智起者。信願行	001	也  事 一 心  理 一 心  真 觀 也  行 位 隨 智 起 者  信 願 行 
ZH_X16_0311_001:0378c02	三資糧也。不退者。信淨在離三界。位不退也。願見	001	三 資 糧 也  不 退 者  信 淨 在 離 三 界  位 不 退 也  願 見 
ZH_X16_0311_001:0378c03	佛念佛心。念不退也。行淨業攝佛人。行不退也。又	001	佛 念 佛 心  念 不 退 也  行 淨 業 攝 佛 人  行 不 退 也  又 
ZH_X16_0311_001:0378c04	信化佛教超凡外道。信不退也。願報佛果超二乘	001	信 化 佛 教 超 凡 外 道  信 不 退 也  願 報 佛 果 超 二 乘 
ZH_X16_0311_001:0378c05	境。念不退也。行法佛理超權修證。行不退也。起信	001	境  念 不 退 也  行 法 佛 理 超 權 修 證  行 不 退 也  起 信 
ZH_X16_0311_001:0378c06	疏云。約有三位。一信行未滿。未名不退。但以處無	001	疏 云  約 有 三 位  一 信 行 未 滿  未 名 不 退  但 以 處 無 
ZH_X16_0311_001:0378c07	退緣。故稱不退。二信滿已去。入十住位。得見法身。	001	退 緣  故 稱 不 退  二 信 滿 已 去  入 十 住 位  得 見 法 身  
ZH_X16_0311_001:0378c08	住於正定。故名不退。三二賢位滿。入初地去。證遍	001	住 於 正 定  故 名 不 退  三 二 賢 位 滿  入 初 地 去  證 遍 
ZH_X16_0311_001:0378c09	滿法身。生無邊佛土。故名不退。由信成信不退。由	001	滿 法 身  生 無 邊 佛 土  故 名 不 退  由 信 成 信 不 退  由 
ZH_X16_0311_001:0378c10	願成住不退。由行成地不退。地論師云。住是證不	001	願 成 住 不 退  由 行 成 地 不 退  地 論 師 云  住 是 證 不 
ZH_X16_0311_001:0378c11	退。行是位不退。向是行不退。地是念不退。由信成	001	退  行 是 位 不 退  向 是 行 不 退  地 是 念 不 退  由 信 成 
ZH_X16_0311_001:0378c12	證位行成行願成念也。因果不退之所成者。因若	001	證 位 行 成 行 願 成 念 也  因 果 不 退 之 所 成 者  因 若 
ZH_X16_0311_001:0378c13	不退。名為真因。果若不退。名為真果。信願佛土攝	001	不 退  名 為 真 因  果 若 不 退  名 為 真 果  信 願 佛 土 攝 
ZH_X16_0311_001:0378c14	根淨念。是不退菩提因行也。得三摩地第一圓通。	001	根 淨 念  是 不 退 菩 提 因 行 也  得 三 摩 地 第 一 圓 通  
ZH_X16_0311_001:0378c15	是不退菩提果德也。文有三重。憶念彼佛。因也。現	001	是 不 退 菩 提 果 德 也  文 有 三 重  憶 念 彼 佛  因 也  現 
ZH_X16_0311_001:0378c16	當見佛。果也。念見近佛。因也。心開香嚴。果也。念心	001	當 見 佛  果 也  念 見 近 佛  因 也  心 開 香 嚴  果 也  念 心 
ZH_X16_0311_001:0378c17	入忍。因也。攝人歸土。果也。如是五對。展轉相因。以	001	入 忍  因 也  攝 人 歸 土  果 也  如 是 五 對  展 轉 相 因  以 
ZH_X16_0311_001:0378c18	為生起。△四釋題。	001	為 生 起   四 釋 題  
ZH_X16_0311_001:0378c19	四略釋題名者。有四對義。初總別。謂楞嚴三字總稱	001	四 略 釋 題 名 者  有 四 對 義  初 總 別  謂 楞 嚴 三 字 總 稱 
ZH_X16_0311_001:0378c20	也。總通彼大部故。勢等七字別號也。別局此一章故。	001	也  總 通 彼 大 部 故  勢 等 七 字 別 號 也  別 局 此 一 章 故  
ZH_X16_0311_001:0378c21	二教義。就前別中。分教義二。謂章之一字。是能詮教	001	二 教 義  就 前 別 中  分 教 義 二  謂 章 之 一 字  是 能 詮 教 
ZH_X16_0311_001:0378c22	也。勢等六字。是所詮義也。三果因。就前義中。開此一	001	也  勢 等 六 字  是 所 詮 義 也  三 果 因  就 前 義 中  開 此 一 
ZH_X16_0311_001:0378c23	對。謂圓通是果。所證境故。勢等是因。能修觀故。四人	001	對  謂 圓 通 是 果  所 證 境 故  勢 等 是 因  能 修 觀 故  四 人 
ZH_X16_0311_001:0378c24	法。就前因中。分成此對。念佛法也。即所稟法。勢至人	001	法  就 前 因 中  分 成 此 對  念 佛 法 也  即 所 稟 法  勢 至 人 
ZH_X16_0311_001:0379a01	也。是能弘人。依四對義。立斯名耳。	001	也  是 能 弘 人  依 四 對 義  立 斯 名 耳  
ZH_X16_0311_001:0379a02	四下標牒。有下解釋。此句列也。初下釋也。總中亦	001	四 下 標 牒  有 下 解 釋  此 句 列 也  初 下 釋 也  總 中 亦 
ZH_X16_0311_001:0379a03	影一對。楞嚴義也局也。經字教也通也。今不出者。	001	影 一 對  楞 嚴 義 也 局 也  經 字 教 也 通 也  今 不 出 者  
ZH_X16_0311_001:0379a04	恐混濫故。章屬能詮者。謂是圓通文字念佛教章	001	恐 混 濫 故  章 屬 能 詮 者  謂 是 圓 通 文 字 念 佛 教 章 
ZH_X16_0311_001:0379a05	也。果因對。亦可名境智對。圓通境也。念佛智也。亦	001	也  果 因 對  亦 可 名 境 智 對  圓 通 境 也  念 佛 智 也  亦 
ZH_X16_0311_001:0379a06	可名真俗理事性修寂行對。圓通真理性寂也。勢	001	可 名 真 俗 理 事 性 修 寂 行 對  圓 通 真 理 性 寂 也  勢 
ZH_X16_0311_001:0379a07	至念佛俗事修行也。四下。念佛法者。念變化。非受	001	至 念 佛 俗 事 修 行 也  四 下  念 佛 法 者  念 變 化  非 受 
ZH_X16_0311_001:0379a08	用佛。(化身)小也。念受用。非變化佛。(自報)終也。念亦變化	001	用 佛   化 身  小 也  念 受 用  非 變 化 佛   自 報  終 也  念 亦 變 化 
ZH_X16_0311_001:0379a09	亦受用佛。(他報)始也。念非受用非變化佛。(法身)頓也。念	001	亦 受 用 佛   他 報  始 也  念 非 受 用 非 變 化 佛   法 身  頓 也  念 
ZH_X16_0311_001:0379a10	圓通無障礙佛。(十身)圓也。勢至人者。得應化佛力。小	001	圓 通 無 障 礙 佛   十 身  圓 也  勢 至 人 者  得 應 化 佛 力  小 
ZH_X16_0311_001:0379a11	勢至也。得功德佛力。始勢至也。得智慧佛力。終勢	001	勢 至 也  得 功 德 佛 力  始 勢 至 也  得 智 慧 佛 力  終 勢 
ZH_X16_0311_001:0379a12	至也。(此二報佛)得如如佛力。(法佛)頓勢至也。得無盡佛力。	001	至 也   此 二 報 佛  得 如 如 佛 力   法 佛  頓 勢 至 也  得 無 盡 佛 力  
ZH_X16_0311_001:0379a13	(十佛)圓勢至也。此亦約教略釋。下更詳解。則知此題	001	 十 佛  圓 勢 至 也  此 亦 約 教 略 釋  下 更 詳 解  則 知 此 題 
ZH_X16_0311_001:0379a14	名內。人法雙彰。因果並舉。理盡義周。故標章首。△	001	名 內  人 法 雙 彰  因 果 並 舉  理 盡 義 周  故 標 章 首   
ZH_X16_0311_001:0379a15	五解文分三。初敘禮白儀。	001	五 解 文 分 三  初 敘 禮 白 儀  
ZH_X16_0311_001:0379a16	大勢至法王子。與其同倫五十二菩薩。即從座起。頂	001	大 勢 至 法 王 子  與 其 同 倫 五 十 二 菩 薩  即 從 座 起  頂 
ZH_X16_0311_001:0379a17	禮佛足。而白佛言。	001	禮 佛 足  而 白 佛 言  
ZH_X16_0311_001:0379a18	【疏】梵語摩訶那鉢。此云大勢至。思益云。我投足之	001	 疏  梵 語 摩 訶 那 鉢  此 云 大 勢 至  思 益 云  我 投 足 之 
ZH_X16_0311_001:0379a19	處。震動三千大千世界。及魔宮殿。故名大勢至。觀	001	處  震 動 三千大千世界  及 魔 宮 殿  故 名 大 勢 至  觀 
ZH_X16_0311_001:0379a20	經云。此菩薩行時。十方世界一切震動。此菩薩坐	001	經 云  此 菩 薩 行 時  十方世界 一 切 震 動  此 菩 薩 坐 
ZH_X16_0311_001:0379a21	時。七寶國土一時動搖。亦名得大勢。悲華云。願我	001	時  七 寶 國 土 一 時 動 搖  亦 名 得 大 勢  悲 華 云  願 我 
ZH_X16_0311_001:0379a22	世界如觀世音。等無有異。寶藏佛言。由汝願取大	001	世 界 如 觀 世 音  等無有異  寶 藏 佛 言  由 汝 願 取 大 
ZH_X16_0311_001:0379a23	千界故。今當字汝為得大勢。亦名無邊光。觀經云。	001	千 界 故  今 當 字 汝 為 得 大 勢  亦 名 無 邊 光  觀 經 云  
ZH_X16_0311_001:0379a24	以智慧光普照一切。令離三途得無上力。若依本	001	以 智 慧 光 普 照 一 切  令 離 三 途 得 無 上 力  若 依 本 
ZH_X16_0311_001:0379b01	文。能念大勢佛。能攝六根妄。能接念佛人。故名為	001	文  能 念 大 勢 佛  能 攝 六 根 妄  能 接 念 佛 人  故 名 為 
ZH_X16_0311_001:0379b02	勢至也。假此菩薩為發起者。表念佛法門。能發智	001	勢 至 也  假 此 菩 薩 為 發 起 者  表 念 佛 法 門  能 發 智 
ZH_X16_0311_001:0379b03	光。得大勢力。離三界苦。取淨土樂也。於法自在。名	001	光  得 大 勢 力  離 三 界 苦  取 淨 土 樂 也  於 法 自 在  名 
ZH_X16_0311_001:0379b04	為法王。從法化生。稱之為子。悲華經云。往昔因中。	001	為 法 王  從 法 化 生  稱 之 為 子  悲 華 經 云  往 昔 因 中  
ZH_X16_0311_001:0379b05	彌陀作輪王時。觀音為長子。勢至為次子。今在極	001	彌 陀 作 輪 王 時  觀 音 為 長 子  勢 至 為 次 子  今 在 極 
ZH_X16_0311_001:0379b06	樂。居佛左右。助化一切。次補佛處。故名法王子也。	001	樂  居 佛 左 右  助 化 一 切  次 補 佛 處  故 名 法 王 子 也  
ZH_X16_0311_001:0379b07	與共也。倫類也。聲氣相應。名為同類。五十二者數	001	與 共 也  倫 類 也  聲 氣 相 應  名 為 同 類  五 十 二 者 數 
ZH_X16_0311_001:0379b08	也。表勢至念佛一門。能攝信等五十二位諸法行	001	也  表 勢 至 念 佛 一 門  能 攝 信 等 五 十 二 位 諸 法 行 
ZH_X16_0311_001:0379b09	故。菩薩。具云菩提薩埵。肇云。菩提佛道名也。薩埵	001	故  菩 薩  具 云 菩 提 薩 埵  肇 云  菩 提 佛 道 名 也  薩 埵 
