segmentnr	original	folio	analyzed
ZH_X67_1304_001:0327a10	吹(萬籟有心聞不得。孤巖無耳却知音)。	001	吹  萬 籟 有 心 聞 不 得  孤 巖 無 耳 却 知 音   
ZH_X67_1304_001:0327a11	師云。自佛祖以來莫不入廛垂手曲垂方便。物物頭	001	師 云  自 佛 祖 以 來 莫 不 入 廛 垂 手 曲 垂 方 便  物 物 頭 
ZH_X67_1304_001:0327a12	頭明明了了指示於人。世尊一日示隨色摩尼珠問	001	頭 明 明 了 了 指 示 於 人  世 尊 一 日 示 隨 色 摩 尼 珠 問 
ZH_X67_1304_001:0327a13	五方天王曰。此珠作何色。時五方天王互說異色。世	001	五 方 天 王 曰  此 珠 作 何 色  時 五 方 天 王 互 說 異 色  世 
ZH_X67_1304_001:0327a14	尊復藏珠入袖却臺手曰此珠作何色。天王曰。佛手	001	尊 復 藏 珠 入 袖 却 臺 手 曰 此 珠 作 何 色  天 王 曰  佛 手 
ZH_X67_1304_001:0327a15	中無珠。何處有色。世尊嘆曰。汝何迷倒之甚。吾將世	001	中 無 珠  何 處 有 色  世 尊 嘆 曰  汝 何 迷 倒 之 甚  吾 將 世 
ZH_X67_1304_001:0327a16	珠示汝。便各強說有青黃赤白色。吾將真珠示之。便	001	珠 示 汝  便 各 強 說 有 青 黃 赤 白 色  吾 將 真 珠 示 之  便 
ZH_X67_1304_001:0327a17	總不知。時五方天王悉皆悟道。林泉道。不因佛指示。	001	總 不 知  時 五 方 天 王 悉 皆 悟 道  林 泉 道  不 因 佛 指 示  
ZH_X67_1304_001:0327a18	洎乎錯商量。曹溪六祖初自新州來參五祖。祖問曰	001	洎 乎 錯 商 量  曹 溪 六 祖 初 自 新 州 來 參 五 祖  祖 問 曰 
ZH_X67_1304_001:0327a19	汝自何來。云嶺南。曰欲須何事。云唯求作佛。曰。嶺南	001	汝 自 何 來  云 嶺 南  曰 欲 須 何 事  云 唯 求 作 佛  曰  嶺 南 
ZH_X67_1304_001:0327a20	人無佛性。若為得佛。云。人有南北。佛性豈然。祖知是	001	人 無 佛 性  若 為 得 佛  云  人 有 南 北  佛 性 豈 然  祖 知 是 
ZH_X67_1304_001:0327a21	異人乃訶曰著槽廠去。遂禮足而退。林泉道。若不得	001	異 人 乃 訶 曰 著 槽 廠 去  遂 禮 足 而 退  林 泉 道  若 不 得 
ZH_X67_1304_001:0327a22	流水。還應過別山。此豈非佛祖偶爾垂言借問伊處。	001	流 水  還 應 過 別 山  此 豈 非 佛 祖 偶 爾 垂 言 借 問 伊 處  
ZH_X67_1304_001:0327a23	古之今之本無兩樣。若是知音賢者。爭肯於今時言	001	古 之 今 之 本 無 兩 樣  若 是 知 音 賢 者  爭 肯 於 今 時 言 
ZH_X67_1304_001:0327a24	句上鑽研。識情內卜度。萬派潮宗皆歸性海。豈不快	001	句 上 鑽 研  識 情 內 卜 度  萬 派 潮 宗 皆 歸 性 海  豈 不 快 
ZH_X67_1304_001:0327b01	哉。況胡笳不犯宮商曲。非獲耳根圓通何能知之也	001	哉  況 胡 笳 不 犯 宮 商 曲  非 獲 耳 根 圓 通 何 能 知 之 也 
ZH_X67_1304_001:0327b02	耶。賴遇藥山父子。沙彌昆仲雲嵓道吾共品玉笛。節	001	耶  賴 遇 藥 山 父 子  沙 彌 昆 仲 雲 嵓 道 吾 共 品 玉 笛  節 
ZH_X67_1304_001:0327b03	拍相隨。奏佳韻於千秋。遺清音於萬古。還會麼。不消	001	拍 相 隨  奏 佳 韻 於 千 秋  遺 清 音 於 萬 古  還 會 麼  不 消 
ZH_X67_1304_001:0327b04	頻側耳。何必恠雙睛。	001	頻 側 耳  何 必 恠 雙 睛  
ZH_X67_1304_001:0327b05	第七則　道吾五峰(對機)	001	第 七 則  道 吾 五 峰  對 機  
ZH_X67_1304_001:0327b06	示眾云。真光不耀。至理難明。天眼龍睛且宜托後。舒	001	示 眾 云  真 光 不 耀  至 理 難 明  天 眼 龍 睛 且 宜 托 後  舒 
ZH_X67_1304_001:0327b07	手不見手時誰能辨的。	001	手 不 見 手 時 誰 能 辨 的  
ZH_X67_1304_001:0327b08	舉道吾智禪師到五峰(登山不易)。峰問還識藥山麼(自來	001	舉 道 吾 智 禪 師 到 五 峰  登 山 不 易   峰 問 還 識 藥 山 麼  自 來 
ZH_X67_1304_001:0327b09	生面)。吾云不識(許伊眼明)。峰云為甚麼不識(抑逼殺人)。吾云不	001	生 面   吾 云 不 識  許 伊 眼 明   峰 云 為 甚 麼 不 識  抑 逼 殺 人   吾 云 不 
ZH_X67_1304_001:0327b10	識不識(頭正尾正)。	001	識 不 識  頭 正 尾 正   
ZH_X67_1304_001:0327b11	師云。潭州道吾山宗智禪師。嗣藥山。山一日上堂云。	001	師 云  潭 州 道 吾 山 宗 智 禪 師  嗣 藥 山  山 一 日 上 堂 云  
ZH_X67_1304_001:0327b12	我有一句子。不曾說向人。師出曰相隨來也。僧問藥	001	我 有 一 句 子  不 曾 說 向 人  師 出 曰 相 隨 來 也  僧 問 藥 
ZH_X67_1304_001:0327b13	山。一句子如何說。山曰非言說。師曰早言說了也。及	001	山  一 句 子 如 何 說  山 曰 非 言 說  師 曰 早 言 說 了 也  及 
ZH_X67_1304_001:0327b14	至到五峰。峰問還識藥山老宿麼。却云不識。此豈非	001	至 到 五 峰  峰 問 還 識 藥 山 老 宿 麼  却 云 不 識  此 豈 非 
ZH_X67_1304_001:0327b15	赤諱白誺覿面相謾。達摩初見武帝。帝問如何是聖	001	赤 諱 白 誺 覿 面 相 謾  達 摩 初 見 武 帝  帝 問 如 何 是 聖 
ZH_X67_1304_001:0327b16	諦第一義。摩云廓然無聖。帝曰對朕者誰。摩云不識。	001	諦 第 一 義  摩 云 廓 然 無 聖  帝 曰 對 朕 者 誰  摩 云 不 識  
ZH_X67_1304_001:0327b17	且道與此不識是同是別。其實藥山本來面目。圓同	001	且 道 與 此 不 識 是 同 是 別  其 實 藥 山 本 來 面 目  圓 同 
ZH_X67_1304_001:0327b18	太虗無欠無餘。非短長之可較量。非肥瘦之可品格。	001	太 虗 無 欠 無 餘  非 短 長 之 可 較 量  非 肥 瘦 之 可 品 格  
ZH_X67_1304_001:0327b19	千光那照五眼難窺。設使瞻之在前。不覺忽焉在後。	001	千 光 那 照 五 眼 難 窺  設 使 瞻 之 在 前  不 覺 忽 焉 在 後  
ZH_X67_1304_001:0327b20	所以道吾贈箇不識。可恠五峰赶賊要赶上。論實不	001	所 以 道 吾 贈 箇 不 識  可 恠 五 峰 赶 賊 要 赶 上  論 實 不 
ZH_X67_1304_001:0327b21	論虗。再三勘驗的礭催徵。是他道吾不減一字。更添	001	論 虗  再 三 勘 驗 的 礭 催 徵  是 他 道 吾 不 減 一 字  更 添 
ZH_X67_1304_001:0327b22	兩字道不識不識。林泉道。苦瓠連根苦。甜瓜徹蒂甜。	001	兩 字 道 不 識 不 識  林 泉 道  苦 瓠 連 根 苦  甜 瓜 徹 蒂 甜  
ZH_X67_1304_001:0327b23	非唯作得主。更乃不食言。直饒及盡今時。未免遭人	001	非 唯 作 得 主  更 乃 不 食 言  直 饒 及 盡 今 時  未 免 遭 人 
ZH_X67_1304_001:0327b24	點檢。頌曰。	001	點 檢  頌 曰  
ZH_X67_1304_001:0327c01	白雲深處路難通(舉步落危途)。擬問蹤由已涉功(誠哉是言	001	白 雲 深 處 路 難 通  舉 步 落 危 途   擬 問 蹤 由 已 涉 功  誠 哉 是 言 
ZH_X67_1304_001:0327c02	也)。挂角羚羊無影跡(不許追尋)。從容還落正偏中(擬議之間	001	也   挂 角 羚 羊 無 影 跡  不 許 追 尋   從 容 還 落 正 偏 中  擬 議 之 間 
ZH_X67_1304_001:0327c03	長途萬里)。	001	長 途 萬 里   
ZH_X67_1304_001:0327c04	師云。大道廣濶平坦縱橫。可惜時人不來遊履。得之	001	師 云  大 道 廣 濶 平 坦 縱 橫  可 惜 時 人 不 來 遊 履  得 之 
ZH_X67_1304_001:0327c05	者左右逢原。失之者孤危顛險。雖則情塵撲落識浪	001	者 左 右 逢 原  失 之 者 孤 危 顛 險  雖 則 情 塵 撲 落 識 浪 
ZH_X67_1304_001:0327c06	洿竭。真淨界中不著邊徼。恰似白雲深處枯木嵓前。	001	洿 竭  真 淨 界 中 不 著 邊 徼  恰 似 白 雲 深 處 枯 木 嵓 前  
ZH_X67_1304_001:0327c07	差路難通玄途謾進。故從賢者擬問端由。已涉功勳	001	差 路 難 通 玄 途 謾 進  故 從 賢 者 擬 問 端 由  已 涉 功 勳 
ZH_X67_1304_001:0327c08	成尊貴墮。所以新豐云。向道莫去。歸來背父。爭如學	001	成 尊 貴 墮  所 以 新 豐 云  向 道 莫 去  歸 來 背 父  爭 如 學 
ZH_X67_1304_001:0327c09	取羚羊挂角飛鳥騰空。非唯難覔其蹤。敢道莫尋其	001	取 羚 羊 挂 角 飛 鳥 騰 空  非 唯 難 覔 其 蹤  敢 道 莫 尋 其 
ZH_X67_1304_001:0327c10	跡。故經云。若以色見我。以音聲求我。是人行邪道。不	001	跡  故 經 云  若 以 色 見 我  以 音 聲 求 我  是 人 行 邪 道  不 
ZH_X67_1304_001:0327c11	能見如來。當此之際。道吾不識豈虗語哉。其或左脣	001	能 見 如 來  當 此 之 際  道 吾 不 識 豈 虗 語 哉  其 或 左 脣 
ZH_X67_1304_001:0327c12	右盻前思後想。從容還落正偏中矣。投子頌云。正中	001	右 盻 前 思 後 想  從 容 還 落 正 偏 中 矣  投 子 頌 云  正 中 
ZH_X67_1304_001:0327c13	偏。三更初夜月明前。莫恠相逢不相識。隱隱猶懷舊	001	偏  三 更 初 夜 月 明 前  莫 恠 相 逢 不 相 識  隱 隱 猶 懷 舊 
ZH_X67_1304_001:0327c14	日嫌。若也於斯覷透。分明覿面別無真。其或未然。爭	001	日 嫌  若 也 於 斯 覷 透  分 明 覿 面 別 無 真  其 或 未 然  爭 
ZH_X67_1304_001:0327c15	奈迷頭還認影。	001	奈 迷 頭 還 認 影  
ZH_X67_1304_001:0327c16	第八則　洞山廊幕(姓名)	001	第 八 則  洞 山 廊 幕  姓 名  
ZH_X67_1304_001:0327c17	示眾云。鞔天索價。愽地相酬。瓦礫泥團。真金不換。會	001	示 眾 云  鞔 天 索 價  愽 地 相 酬  瓦 礫 泥 團  真 金 不 換  會 
ZH_X67_1304_001:0327c18	得則途中受用。不會則世諦流布。須知末後牢關。不	001	得 則 途 中 受 用  不 會 則 世 諦 流 布  須 知 末 後 牢 關  不 
ZH_X67_1304_001:0327c19	離[宋-木+取]初一句。還有道得的麼。	001	離 [宋木取] 初 一 句  還 有 道 得 的 麼  
ZH_X67_1304_001:0327c20	舉洞山到北巖哲禪師處(不辭迢遞遠。特地訪知音)。巖問甚處	001	舉 洞 山 到 北 巖 哲 禪 師 處  不 辭 迢 遞 遠  特 地 訪 知 音   巖 問 甚 處 
ZH_X67_1304_001:0327c21	來(〔閑〕門刷會)。山云湖南來(多虛不如少實)。巖云觀察使姓甚麼	001	來   閑  門 刷 會   山 云 湖 南 來  多 虛 不 如 少 實   巖 云 觀 察 使 姓 甚 麼 
ZH_X67_1304_001:0327c22	(適來記得而今忘却)。山云不得姓(不勞通報)。巖云名甚麼(誰敢觸諱)。山	001	 適 來 記 得 而 今 忘 却   山 云 不 得 姓  不 勞 通 報   巖 云 名 甚 麼  誰 敢 觸 諱   山 
ZH_X67_1304_001:0327c23	云不得名(善能回互)。巖云還理事也無(要穩索)。山云自有	001	云 不 得 名  善 能 回 互   巖 云 還 理 事 也 無  要 穩 索   山 云 自 有 
ZH_X67_1304_001:0327c24	廊幕在(已成閑管)。巖云還出入否(誰能見面)。山云不出入(元來	001	廊 幕 在  已 成 閑 管   巖 云 還 出 入 否  誰 能 見 面   山 云 不 出 入  元 來 
ZH_X67_1304_001:0328a01	快馬不如鈍坑)。巖云豈不出入(言多傷行)。山便拂袖出去(話不投機	001	快 馬 不 如 鈍 坑   巖 云 豈 不 出 入  言 多 傷 行   山 便 拂 袖 出 去  話 不 投 機 
ZH_X67_1304_001:0328a02	一句多)。巖來日侵早入堂召洞山(不消氣急請再商量)。山近前	001	一 句 多   巖 來 日 侵 早 入 堂 召 洞 山  不 消 氣 急 請 再 商 量   山 近 前 
ZH_X67_1304_001:0328a03	(在他簷簷下爭敢不低頭)。巖云昨日祗對上座話不愜老僧意。	001	 在 他 簷 簷 下 爭 敢 不 低 頭   巖 云 昨 日 祗 對 上 座 話 不 愜 老 僧 意  
ZH_X67_1304_001:0328a04	一夜不安(醒後方知酒悞人)。今請上座別下一轉語(諦聽諦聽)。	001	一 夜 不 安  醒 後 方 知 酒 悞 人   今 請 上 座 別 下 一 轉 語  諦 聽 諦 聽   
ZH_X67_1304_001:0328a05	若愜老僧意。便開粥相伴過夏(理長即就)。山云却請和	001	若 愜 老 僧 意  便 開 粥 相 伴 過 夏  理 長 即 就   山 云 却 請 和 
ZH_X67_1304_001:0328a06	尚問(藝高人大膽)。巖云不出入是如何(拱密威嚴實難參見)。山云	001	尚 問  藝 高 人 大 膽   巖 云 不 出 入 是 如 何  拱 密 威 嚴 實 難 參 見   山 云 
ZH_X67_1304_001:0328a07	太尊貴生(還丹一粒點鐵成金)。巖乃開粥同過夏(待伊心肯處。是我命	001	太 尊 貴 生  還 丹 一 粒 點 鐵 成 金   巖 乃 開 粥 同 過 夏  待 伊 心 肯 處  是 我 命 
ZH_X67_1304_001:0328a08	通時)。	001	通 時   
ZH_X67_1304_001:0328a09	師云。鄂州北巖明哲禪師。亦曰栢巖。曾居定州栢巖。	001	師 云  鄂 州 北 巖 明 哲 禪 師  亦 曰 栢 巖  曾 居 定 州 栢 巖  
ZH_X67_1304_001:0328a10	故有是名。傳為栢顏。訛也。今中山府柏巖山塔寺具	001	故 有 是 名  傳 為 栢 顏  訛 也  今 中 山 府 柏 巖 山 塔 寺 具 
ZH_X67_1304_001:0328a11	存。在唐縣界。師甞有頌曰。野寺絕依念。空山曾遍行。	001	存  在 唐 縣 界  師 甞 有 頌 曰  野 寺 絕 依 念  空 山 曾 遍 行  
ZH_X67_1304_001:0328a12	老來披衲重。病起讀經生。乞食嫌村遠。尋溪愛路平。	001	老 來 披 衲 重  病 起 讀 經 生  乞 食 嫌 村 遠  尋 溪 愛 路 平  
ZH_X67_1304_001:0328a13	多年栢巖住。不記栢巖名。閬仙賈島哭師詩曰。苔覆	001	多 年 栢 巖 住  不 記 栢 巖 名  閬 仙 賈 島 哭 師 詩 曰  苔 覆 
ZH_X67_1304_001:0328a14	石牀新。吾師占幾春。寫留行道影。焚却坐禪身。塔院	001	石 牀 新  吾 師 占 幾 春  寫 留 行 道 影  焚 却 坐 禪 身  塔 院 
ZH_X67_1304_001:0328a15	關松雪。僧堂鎻隙塵。自慚雙泪下。不是解空人。至今	001	關 松 雪  僧 堂 鎻 隙 塵  自 慚 雙 泪 下  不 是 解 空 人  至 今 
ZH_X67_1304_001:0328a16	詩頌石刻俱在。唐高僧詩謂。前篇乃清塞贈栢巖所	001	詩 頌 石 刻 俱 在  唐 高 僧 詩 謂  前 篇 乃 清 塞 贈 栢 巖 所 
ZH_X67_1304_001:0328a17	作。此方既名栢巖。鄂州宜號北巖。了無疑也。祖燈所	001	作  此 方 既 名 栢 巖  鄂 州 宜 號 北 巖  了 無 疑 也  祖 燈 所 
ZH_X67_1304_001:0328a18	載。師與密師伯同訪。今此略之。無正意。巖以尋常	001	載  師 與 密 師 伯 同 訪  今 此 略 之  無 正 意  巖 以 尋 常 
ZH_X67_1304_001:0328a19	問答要歸心性。向佛未出世空劫前時。審知浩浩真	001	問 答 要 歸 心 性  向 佛 未 出 世 空 劫 前 時  審 知 浩 浩 真 
ZH_X67_1304_001:0328a20	常。委悉如如妙體。擬之則差。議之則錯。非智識之可	001	常  委 悉 如 如 妙 體  擬 之 則 差  議 之 則 錯  非 智 識 之 可 
ZH_X67_1304_001:0328a21	參詳。非言談之可窮究。所以用至尊至貴為喻。巖雖	001	參 詳  非 言 談 之 可 窮 究  所 以 用 至 尊 至 貴 為 喻  巖 雖 
ZH_X67_1304_001:0328a22	以妄情羅織。山假以真智傍通。百計千般終難繫綴。	001	以 妄 情 羅 織  山 假 以 真 智 傍 通  百 計 千 般 終 難 繫 綴  
ZH_X67_1304_001:0328a23	端的至理一言離微不涉。何出入之可定奪者哉。初	001	端 的 至 理 一 言 離 微 不 涉  何 出 入 之 可 定 奪 者 哉  初 
ZH_X67_1304_001:0328a24	雖不許。寧免尋思屈己從他。自知理短。怎不相酬開	001	雖 不 許  寧 免 尋 思 屈 己 從 他  自 知 理 短  怎 不 相 酬 開 
ZH_X67_1304_001:0328b01	粥過夏。還知真不掩偽曲不藏直處麼。但能不觸當	001	粥 過 夏  還 知 真 不 掩 偽 曲 不 藏 直 處 麼  但 能 不 觸 當 
ZH_X67_1304_001:0328b02	今諱。也勝前朝斷舌才。頌曰。	001	今 諱  也 勝 前 朝 斷 舌 才  頌 曰  
ZH_X67_1304_001:0328b03	燭香人靜杳無聲(視聽應難)。苔滿丹墀皓月明(孰堪履踐)。入	001	燭 香 人 靜 杳 無 聲  視 聽 應 難   苔 滿 丹 墀 皓 月 明  孰 堪 履 踐   入 
ZH_X67_1304_001:0328b04	戶當堂慵正坐(東宮雖至嫡)。出門猶懶下堦行(不面舜堯顏)。	001	戶 當 堂 慵 正 坐  東 宮 雖 至 嫡   出 門 猶 懶 下 堦 行  不 面 舜 堯 顏   
ZH_X67_1304_001:0328b05	師云。空劫以前難話會。威音那畔絕商量。恰似燭香	001	師 云  空 劫 以 前 難 話 會  威 音 那 畔 絕 商 量  恰 似 燭 香 
ZH_X67_1304_001:0328b06	人靜後。無音無韻了行藏。由是信息非通。形容莫覩。	001	人 靜 後  無 音 無 韻 了 行 藏  由 是 信 息 非 通  形 容 莫 覩  
ZH_X67_1304_001:0328b07	烟籠祕殿苔滿丹墀。月泛金波星分皓彩。當此之時。	001	烟 籠 祕 殿 苔 滿 丹 墀  月 泛 金 波 星 分 皓 彩  當 此 之 時  
ZH_X67_1304_001:0328b08	沉沉宮漏。運四智而難明。寂寂綸言。空一心而仰望。	001	沉 沉 宮 漏  運 四 智 而 難 明  寂 寂 綸 言  空 一 心 而 仰 望  
ZH_X67_1304_001:0328b09	雖則入戶當堂。謙卑自處不正坐。恐犯功勳權袖手。	001	雖 則 入 戶 當 堂  謙 卑 自 處 不 正 坐  恐 犯 功 勳 權 袖 手  
ZH_X67_1304_001:0328b10	且宜守分。欲携班杖擬出玄門。竚立躇躊。不辭料理。	001	且 宜 守 分  欲 携 班 杖 擬 出 玄 門  竚 立 躇 躊  不 辭 料 理  
ZH_X67_1304_001:0328b11	方信道。三思然後再思可矣。既懶下堦舉足。不無隱	001	方 信 道  三 思 然 後 再 思 可 矣  既 懶 下 堦 舉 足  不 無 隱 
ZH_X67_1304_001:0328b12	几栖心。非唯偏處不逢。況乃玄中不失。還知尊貴一	001	几 栖 心  非 唯 偏 處 不 逢  況 乃 玄 中 不 失  還 知 尊 貴 一 
ZH_X67_1304_001:0328b13	路非言可及處麼。近日王令稍嚴。不許多言恃語。	001	路 非 言 可 及 處 麼  近 日 王 令 稍 嚴  不 許 多 言 恃 語  
ZH_X67_1304_001:0328b14	第九則　雲巖巾缾(香燈)	001	第 九 則  雲 巖 巾 缾  香 燈  
ZH_X67_1304_001:0328b15	示眾云。師資緣會。針芥相投。差之毫釐。失之千里。寔	001	示 眾 云  師 資 緣 會  針 芥 相 投  差 之 毫 釐  失 之 千 里  寔 
ZH_X67_1304_001:0328b16	非心力之可謀也。莫有涉疑者麼。	001	非 心 力 之 可 謀 也  莫 有 涉 疑 者 麼  
ZH_X67_1304_001:0328b17	舉僧問雲巖晟禪師。二十年在百丈巾缾。為甚麼	001	舉 僧 問 雲 巖 晟 禪 師  二 十 年 在 百 丈 巾 缾  為 甚 麼 
ZH_X67_1304_001:0328b18	心燈不續(冤有頭債有主)。巖云頭上寶花冠(你試摸索看)。僧云	001	心 燈 不 續  冤 有 頭 債 有 主   巖 云 頭 上 寶 花 冠  你 試 摸 索 看   僧 云 
ZH_X67_1304_001:0328b19	頭上寶花冠意旨如何(果是不知下落)。巖云大唐天子及	001	頭 上 寶 花 冠 意 旨 如 何  果 是 不 知 下 落   巖 云 大 唐 天 子 及 
ZH_X67_1304_001:0328b20	冥王(早是那堪)。僧問九峯虔禪師。大唐天子及冥王意	001	冥 王  早 是 那 堪   僧 問 九 峯 虔 禪 師  大 唐 天 子 及 冥 王 意 
ZH_X67_1304_001:0328b21	旨如何(江北江南問王老。一狐疑了一狐疑)。峰云却憶洞上之言(莫作	001	旨 如 何  江 北 江 南 問 王 老  一 狐 疑 了 一 狐 疑   峰 云 却 憶 洞 上 之 言  莫 作 
ZH_X67_1304_001:0328b22	好話聽)。	001	好 話 聽   
ZH_X67_1304_001:0328b23	師云。潭州雲巖曇晟禪師。生鐘陵建昌王氏。少出家	001	師 云  潭 州 雲 巖 曇 晟 禪 師  生 鐘 陵 建 昌 王 氏  少 出 家 
ZH_X67_1304_001:0328b24	於石門。參百丈海禪師二十年。因緣不契。後嗣藥山。	001	於 石 門  參 百 丈 海 禪 師 二 十 年  因 緣 不 契  後 嗣 藥 山  
ZH_X67_1304_001:0328c01	這僧故發此問不妨疑著。其實心燈未甞間斷。千佛	001	這 僧 故 發 此 問 不 妨 疑 著  其 實 心 燈 未 甞 間 斷  千 佛 
ZH_X67_1304_001:0328c02	出世亦不曾增。千佛入滅亦未曾減。自是這僧以妄	001	出 世 亦 不 曾 增  千 佛 入 滅 亦 未 曾 減  自 是 這 僧 以 妄 
ZH_X67_1304_001:0328c03	情斟酌狂識較量。分彼此立階差。黨門風。爭人我。滿	001	情 斟 酌 狂 識 較 量  分 彼 此 立 階 差  黨 門 風  爭 人 我  滿 
ZH_X67_1304_001:0328c04	肚懷疑故來審察。是他雲巖老漢。不用剜身千盞灌	001	肚 懷 疑 故 來 審 察  是 他 雲 巖 老 漢  不 用 剜 身 千 盞 灌 
ZH_X67_1304_001:0328c05	滿膏油。索甚箭剔昬燈。暫圖精細。故以頭上寶花冠	001	滿 膏 油  索 甚 箭 剔 昬 燈  暫 圖 精 細  故 以 頭 上 寶 花 冠 
ZH_X67_1304_001:0328c06	打發這僧。為復是厚幣甘言。為復是著本圖利。為復	001	打 發 這 僧  為 復 是 厚 幣 甘 言  為 復 是 著 本 圖 利  為 復 
ZH_X67_1304_001:0328c07	是眼裏拔釘。為復是腦後抽楔。向此一轉語下見諦	001	是 眼 裏 拔 釘  為 復 是 腦 後 抽 楔  向 此 一 轉 語 下 見 諦 
ZH_X67_1304_001:0328c08	明白。不止頭輕眼明。使汝心神罄快。可怜無價寶。撞	001	明 白  不 止 頭 輕 眼 明  使 汝 心 神 罄 快  可 怜 無 價 寶  撞 
ZH_X67_1304_001:0328c09	著杜波斯。返復又問頭上寶花冠意旨如何。可謂分	001	著 杜 波 斯  返 復 又 問 頭 上 寶 花 冠 意 旨 如 何  可 謂 分 
ZH_X67_1304_001:0328c10	明極。飜令所得遲。不免雲巖盡情為濟竭力提携道。	001	明 極  飜 令 所 得 遲  不 免 雲 巖 盡 情 為 濟 竭 力 提 携 道  
ZH_X67_1304_001:0328c11	大唐天子及冥王。雖是婆心太切。焉知愚騃呆癡。奉	001	大 唐 天 子 及 冥 王  雖 是 婆 心 太 切  焉 知 愚 騃 呆 癡  奉 
ZH_X67_1304_001:0328c12	以明珠認為泥彈。於斯不悟金剛旨。惹得疑情滿世	001	以 明 珠 認 為 泥 彈  於 斯 不 悟 金 剛 旨  惹 得 疑 情 滿 世 
ZH_X67_1304_001:0328c13	間。而復又問九峰。大唐天子及冥王意旨如何。好笑	001	間  而 復 又 問 九 峰  大 唐 天 子 及 冥 王 意 旨 如 何  好 笑 
ZH_X67_1304_001:0328c14	這僧雖是懵懂却[宋-木+取]志誠。將勤補拙不避人嗤。幸遇	001	這 僧 雖 是 懵 懂 却 [宋木取] 志 誠  將 勤 補 拙 不 避 人 嗤  幸 遇 
ZH_X67_1304_001:0328c15	慈悲再三撈摝。以洞上之言說似與他。未審洞上有	001	慈 悲 再 三 撈 摝  以 洞 上 之 言 說 似 與 他  未 審 洞 上 有 
ZH_X67_1304_001:0328c16	何言句。還知麼。木鷄啼子夜。石犬吠天明。頌曰。	001	何 言 句  還 知 麼  木 鷄 啼 子 夜  石 犬 吠 天 明  頌 曰  
ZH_X67_1304_001:0328c17	玉鞭高舉擊金門(聲聲不絕)。引出珊瑚價莫論(孰能賞鑑)。逈	001	玉 鞭 高 舉 擊 金 門  聲 聲 不 絕   引 出 珊 瑚 價 莫 論  孰 能 賞 鑑   逈 
ZH_X67_1304_001:0328c18	古輪王全意氣(匪從人得)。不彰寶印自然尊(理合如斯)。	001	古 輪 王 全 意 氣  匪 從 人 得   不 彰 寶 印 自 然 尊  理 合 如 斯   
ZH_X67_1304_001:0328c19	師云。門墻岸岸。關鎻重重。不假殷勤何緣得入。所以	001	師 云  門 墻 岸 岸  關 鎻 重 重  不 假 殷 勤 何 緣 得 入  所 以 
ZH_X67_1304_001:0328c20	道。佛語心為宗。無門為法門。世尊一日見文殊在門	001	道  佛 語 心 為 宗  無 門 為 法 門  世 尊 一 日 見 文 殊 在 門 
ZH_X67_1304_001:0328c21	外立。乃曰。文殊文殊。何不入門來。文殊曰。我不見一	001	外 立  乃 曰  文 殊 文 殊  何 不 入 門 來  文 殊 曰  我 不 見 一 
ZH_X67_1304_001:0328c22	法在門外。何以教我入門。玄覺徵云。為復是門外語	001	法 在 門 外  何 以 教 我 入 門  玄 覺 徵 云  為 復 是 門 外 語 
ZH_X67_1304_001:0328c23	門內語。林泉道。勸君不用分明語。語得分明出轉難。	001	門 內 語  林 泉 道  勸 君 不 用 分 明 語  語 得 分 明 出 轉 難  
ZH_X67_1304_001:0328c24	溈山喆代云。吾不如汝。林泉道。是何心倖。以此觀來。	001	溈 山 喆 代 云  吾 不 如 汝  林 泉 道  是 何 心 倖  以 此 觀 來  
ZH_X67_1304_001:0329a01	豈止這僧玉鞭高舉曾擊金門。世尊．文殊．玄覺．溈山	001	豈 止 這 僧 玉 鞭 高 舉 曾 擊 金 門  世 尊  文 殊  玄 覺  溈 山 
ZH_X67_1304_001:0329a02	拋塼引玉。興亦非淺。雖恁舉似。見人須弃敲門物。知	001	拋 塼 引 玉  興 亦 非 淺  雖 恁 舉 似  見 人 須 弃 敲 門 物  知 
ZH_X67_1304_001:0329a03	道仍忘堠子名。非唯少分相應。必使就中相見。端的	001	道 仍 忘 堠 子 名  非 唯 少 分 相 應  必 使 就 中 相 見  端 的 
ZH_X67_1304_001:0329a04	得人一語果勝千金。那引珊瑚而論高價。竊比輪王	001	得 人 一 語 果 勝 千 金  那 引 珊 瑚 而 論 高 價  竊 比 輪 王 
ZH_X67_1304_001:0329a05	意氣搖乾蕩坤。而況無文寶印本來尊貴。何由彰顯	001	意 氣 搖 乾 蕩 坤  而 況 無 文 寶 印 本 來 尊 貴  何 由 彰 顯 
ZH_X67_1304_001:0329a06	而已哉。還見心燈不昧。智焰恒明處麼。須知逈脫根	001	而 已 哉  還 見 心 燈 不 昧  智 焰 恒 明 處 麼  須 知 逈 脫 根 
ZH_X67_1304_001:0329a07	塵了。一點靈光裂古今。	001	塵 了  一 點 靈 光 裂 古 今  
ZH_X67_1304_001:0329a08	第十則　南泉異類(省訪)	001	第 十 則  南 泉 異 類  省 訪  
ZH_X67_1304_001:0329a09	示眾云。同行既無疎伴。便宜豈出當家。雖然蹄角分	001	示 眾 云  同 行 既 無 疎 伴  便 宜 豈 出 當 家  雖 然 蹄 角 分 
