segmentnr	original	folio	analyzed
ZH_X65_1282_001:0263a01	如何是同得失。	001	如 何 是 同 得 失  
ZH_X65_1282_001:0263a02	三山來云。背脊朝天。腦門著地。頌曰。七同得失。	001	三 山 來 云  背 脊 朝 天  腦 門 著 地  頌 曰  七 同 得 失  
ZH_X65_1282_001:0263a03	明暗不立。籠得烏雞。白鷴飛去。	001	明 暗 不 立  籠 得 烏 雞  白 鷴 飛 去  
ZH_X65_1282_001:0263a04	八．同生殺　德山棒。臨濟喝　作麼生兮同生殺。桃	001	八  同 生 殺  德 山 棒  臨 濟 喝  作 麼 生 兮 同 生 殺  桃 
ZH_X65_1282_001:0263a05	花紅兮李花白。今年吞却大還丹。到處相逢李八	001	花 紅 兮 李 花 白  今 年 吞 却 大 還 丹  到 處 相 逢 李 八 
ZH_X65_1282_001:0263a06	伯。	001	伯  
ZH_X65_1282_001:0263a07	如何是同生殺。	001	如 何 是 同 生 殺  
ZH_X65_1282_001:0263a08	三山來云。收來放去隨方便。毒心半是慈心人。	001	三 山 來 云  收 來 放 去 隨 方 便  毒 心 半 是 慈 心 人  
ZH_X65_1282_001:0263a09	頌曰。八同生殺。銅鎚鐵钁。操縱臨時。有冤難雪。	001	頌 曰  八 同 生 殺  銅 鎚 鐵 钁  操 縱 臨 時  有 冤 難 雪  
ZH_X65_1282_001:0263a10	九．同音吼　風吹石臼演摩訶　與誰說法同音吼。	001	九  同 音 吼  風 吹 石 臼 演 摩 訶  與 誰 說 法 同 音 吼  
ZH_X65_1282_001:0263a11	飲食語言皆用口。燕語鶯啼迥不同。雕梁芳樹却	001	飲 食 語 言 皆 用 口  燕 語 鶯 啼 迥 不 同  雕 梁 芳 樹 却 
ZH_X65_1282_001:0263a12	知有。	001	知 有  
ZH_X65_1282_001:0263a13	如何是同音吼。	001	如 何 是 同 音 吼  
ZH_X65_1282_001:0263a14	三山來云。無風蜩語吹。頌曰。九同音吼。大地皆	001	三 山 來 云  無 風 蜩 語 吹  頌 曰  九 同 音 吼  大 地 皆 
ZH_X65_1282_001:0263a15	口。倒瀉銀河。魚龍競走。	001	口  倒 瀉 銀 河  魚 龍 競 走  
ZH_X65_1282_001:0263a16	十．同得入　龍歸滄海　與甚麼人同得入。田父耕	001	十  同 得 入  龍 歸 滄 海  與 甚 麼 人 同 得 入  田 父 耕 
ZH_X65_1282_001:0263a17	鋤女機織。冷眼看他家事忙。問渠且道承誰力。	001	鋤 女 機 織  冷 眼 看 他 家 事 忙  問 渠 且 道 承 誰 力  
ZH_X65_1282_001:0263a18	如何是同得入。	001	如 何 是 同 得 入  
ZH_X65_1282_001:0263a19	三山來云。家龕祖先是第幾代底。頌曰。十同得	001	三 山 來 云  家 龕 祖 先 是 第 幾 代 底  頌 曰  十 同 得 
ZH_X65_1282_001:0263a20	入。功完行畢。著彩堂前。斑衣兒戲。寂音頌云。十	001	入  功 完 行 畢  著 彩 堂 前  斑 衣 兒 戲  寂 音 頌 云  十 
ZH_X65_1282_001:0263a21	智同真面目全。於中一智是根源。如今要見汾陽	001	智 同 真 面 目 全  於 中 一 智 是 根 源  如 今 要 見 汾 陽 
ZH_X65_1282_001:0263a22	老。劈破三玄作兩邊。三山來總頌云。有體有用	001	老  劈 破 三 玄 作 兩 邊  三 山 來 總 頌 云  有 體 有 用 
ZH_X65_1282_001:0263a23	體用殊。同真十智一如如。雖同十智總一智。三玄	001	體 用 殊  同 真 十 智 一 如 如  雖 同 十 智 總 一 智  三 玄 
ZH_X65_1282_001:0263a24	劈處莫糊塗。	001	劈 處 莫 糊 塗  
ZH_X65_1282_001:0263b01	汾陽四句	001	汾 陽 四 句 
ZH_X65_1282_001:0263b02	接初機句　陽云。汝是行脚僧。	001	接 初 機 句  陽 云  汝 是 行 脚 僧  
ZH_X65_1282_001:0263b03	三山來云。喫粥也未。	001	三 山 來 云  喫 粥 也 未  
ZH_X65_1282_001:0263b04	辨衲僧句　陽云。西方日出卯。	001	辨 衲 僧 句  陽 云  西 方 日 出 卯  
ZH_X65_1282_001:0263b05	三山來云。張家兒子不姓李。	001	三 山 來 云  張 家 兒 子 不 姓 李  
ZH_X65_1282_001:0263b06	行正令句　諲云。不通眨眼。	001	行 正 令 句  諲 云  不 通 眨 眼  
ZH_X65_1282_001:0263b07	三山來云。山崩石裂。	001	三 山 來 云  山 崩 石 裂  
ZH_X65_1282_001:0263b08	定乾坤句　總云。人間天上一般春。	001	定 乾 坤 句  總 云  人 間 天 上 一 般 春  
ZH_X65_1282_001:0263b09	三山來云。海晏河清。	001	三 山 來 云  海 晏 河 清  
ZH_X65_1282_001:0263b10	汾陽三句	001	汾 陽 三 句 
ZH_X65_1282_001:0263b11	學人著力句　陽云。嘉州打大像。	001	學 人 著 力 句  陽 云  嘉 州 打 大 像  
ZH_X65_1282_001:0263b12	三山來云。急水灘頭緊䌫船。	001	三 山 來 云  急 水 灘 頭 緊 䌫 船  
ZH_X65_1282_001:0263b13	學人轉身句　陽云。陝舟灌鐵牛。	001	學 人 轉 身 句  陽 云  陝 舟 灌 鐵 牛  
ZH_X65_1282_001:0263b14	三山來云。東邊去。西邊來。	001	三 山 來 云  東 邊 去  西 邊 來  
ZH_X65_1282_001:0263b15	學人親切句　陽云。西河弄獅子。	001	學 人 親 切 句  陽 云  西 河 弄 獅 子  
ZH_X65_1282_001:0263b16	三山來云。屙屎放尿也要自己去。	001	三 山 來 云  屙 屎 放 尿 也 要 自 己 去  
ZH_X65_1282_001:0263b17	汾陽三訣	001	汾 陽 三 訣 
ZH_X65_1282_001:0263b18	第一訣　珊瑚枝枝撐著月　第一訣。接引無時節。	001	第 一 訣  珊 瑚 枝 枝 撐 著 月  第 一 訣  接 引 無 時 節  
ZH_X65_1282_001:0263b19	巧語不能詮。雲散天邊月。	001	巧 語 不 能 詮  雲 散 天 邊 月  
ZH_X65_1282_001:0263b20	第二訣　萬里一條鐵　第二訣。舒光辨賢哲。問答	001	第 二 訣  萬 里 一 條 鐵  第 二 訣  舒 光 辨 賢 哲  問 答 
ZH_X65_1282_001:0263b21	利生心。拔出眼中楔。	001	利 生 心  拔 出 眼 中 楔  
ZH_X65_1282_001:0263b22	第三訣　百草頭邊俱漏洩　第三訣。西國胡人說。	001	第 三 訣  百 草 頭 邊 俱 漏 洩  第 三 訣  西 國 胡 人 說  
ZH_X65_1282_001:0263b23	濟水過新羅。北地用邠鐵。	001	濟 水 過 新 羅  北 地 用 邠 鐵  
ZH_X65_1282_001:0263b24	汾陽十八問	001	汾 陽 十 八 問 
ZH_X65_1282_001:0263c01	請益問　如何是佛。有所請益而問也。	001	請 益 問  如 何 是 佛  有 所 請 益 而 問 也  
ZH_X65_1282_001:0263c02	呈解問　天不能葢。地不能載時如何。自呈見解而	001	呈 解 問  天 不 能 葢  地 不 能 載 時 如 何  自 呈 見 解 而 
ZH_X65_1282_001:0263c03	問也。	001	問 也  
ZH_X65_1282_001:0263c04	察辨問　有一問在和尚處時如何。審察辨難而問	001	察 辨 問  有 一 問 在 和 尚 處 時 如 何  審 察 辨 難 而 問 
ZH_X65_1282_001:0263c05	也。	001	也  
ZH_X65_1282_001:0263c06	投機問　和尚道。枯樁豈不是法身邊事。相投機竅	001	投 機 問  和 尚 道  枯 樁 豈 不 是 法 身 邊 事  相 投 機 竅 
ZH_X65_1282_001:0263c07	而問也。	001	而 問 也  
ZH_X65_1282_001:0263c08	偏僻問　鶴立枯松時如何。偏枯僻執而問也。	001	偏 僻 問  鶴 立 枯 松 時 如 何  偏 枯 僻 執 而 問 也  
ZH_X65_1282_001:0263c09	心行問　皂白未分。乞師方便。自表心行而問也。	001	心 行 問  皂 白 未 分  乞 師 方 便  自 表 心 行 而 問 也  
ZH_X65_1282_001:0263c10	探拔問　不會底人為甚麼不疑。探求尋拔而問也。	001	探 拔 問  不 會 底 人 為 甚 麼 不 疑  探 求 尋 拔 而 問 也  
ZH_X65_1282_001:0263c11	不會問　乍入叢林。乞師指示。不會箇事。直陳而問	001	不 會 問  乍 入 叢 林  乞 師 指 示  不 會 箇 事  直 陳 而 問 
ZH_X65_1282_001:0263c12	也。	001	也  
ZH_X65_1282_001:0263c13	擎擔問　一物不將來時如何。自擎擔所見而問也。	001	擎 擔 問  一 物 不 將 來 時 如 何  自 擎 擔 所 見 而 問 也  
ZH_X65_1282_001:0263c14	置問問　睜目不見邊際時如何。置一問頭而問也。	001	置 問 問  睜 目 不 見 邊 際 時 如 何  置 一 問 頭 而 問 也  
ZH_X65_1282_001:0263c15	故問問　一切眾生皆有佛性。為甚狗子却無。設為	001	故 問 問  一 切 眾 生 皆 有 佛 性  為 甚 狗 子 却 無  設 為 
ZH_X65_1282_001:0263c16	一故而問也。	001	一 故 而 問 也  
ZH_X65_1282_001:0263c17	借問問　大海有珠。如何取得。別借一端而問也。	001	借 問 問  大 海 有 珠  如 何 取 得  別 借 一 端 而 問 也  
ZH_X65_1282_001:0263c18	實問問　只見和尚是僧。如何是佛是法。以其實理	001	實 問 問  只 見 和 尚 是 僧  如 何 是 佛 是 法  以 其 實 理 
ZH_X65_1282_001:0263c19	而問也。	001	而 問 也  
ZH_X65_1282_001:0263c20	假問問　者箇是殿裏底。如何是佛。假此一端而問	001	假 問 問  者 箇 是 殿 裏 底  如 何 是 佛  假 此 一 端 而 問 
ZH_X65_1282_001:0263c21	也。	001	也  
ZH_X65_1282_001:0263c22	審問問　一切諸法本來是有。那箇是無。審察其理	001	審 問 問  一切諸法 本 來 是 有  那 箇 是 無  審 察 其 理 
ZH_X65_1282_001:0263c23	而問也。	001	而 問 也  
ZH_X65_1282_001:0263c24	徵問問　祖師西來。當為何事。徵考其故而問也。	001	徵 問 問  祖 師 西 來  當 為 何 事  徵 考 其 故 而 問 也  
ZH_X65_1282_001:0264a01	明問問　不問有言。不問無言。明白直捷而問也。	001	明 問 問  不 問 有 言  不 問 無 言  明 白 直 捷 而 問 也  
ZH_X65_1282_001:0264a02	默問問　外道到佛處。無言而立。默然不言而問也。	001	默 問 問  外 道 到 佛 處  無 言 而 立  默 然 不 言 而 問 也  
ZH_X65_1282_001:0264a03	汾陽三種獅子	001	汾 陽 三 種 獅 子 
ZH_X65_1282_001:0264a04	一．超宗異目　見過於師。方堪傳授。	001	一  超 宗 異 目  見 過 於 師  方 堪 傳 授  
ZH_X65_1282_001:0264a05	三山來頌云。超宗異目。叢林傑出。奮起威雄。噬人	001	三 山 來 頌 云  超 宗 異 目  叢 林 傑 出  奮 起 威 雄  噬 人 
ZH_X65_1282_001:0264a06	無數。	001	無 數  
ZH_X65_1282_001:0264a07	二．齊眉共躅　見與師齊。減師半德。	001	二  齊 眉 共 躅  見 與 師 齊  減 師 半 德  
ZH_X65_1282_001:0264a08	三山來頌云。齊眉共躅。克繩武步。獨振家聲。牙爪	001	三 山 來 頌 云  齊 眉 共 躅  克 繩 武 步  獨 振 家 聲  牙 爪 
ZH_X65_1282_001:0264a09	露出。	001	露 出  
ZH_X65_1282_001:0264a10	三．影響音聞　野干倚勢。異類何分。	001	三  影 響 音 聞  野 干 倚 勢  異 類 何 分  
ZH_X65_1282_001:0264a11	三山來頌云。影響音聞。彷彿不真。狐犬競吠。野干	001	三 山 來 頌 云  影 響 音 聞  彷 彿 不 真  狐 犬 競 吠  野 干 
ZH_X65_1282_001:0264a12	亂鳴。	001	亂 鳴  
ZH_X65_1282_001:0264a13	浮山九帶	001	浮 山 九 帶 
ZH_X65_1282_001:0264a14	佛正法眼藏帶　太虗寥廓塵埃淨。智鑑圓明物我	001	佛 正 法 眼 藏 帶  太 虗 寥 廓 塵 埃 淨  智 鑑 圓 明 物 我 
ZH_X65_1282_001:0264a15	殊。	001	殊  
ZH_X65_1282_001:0264a16	佛正法眼。迦葉親承。祖禰不了。殃及兒孫。	001	佛 正 法 眼  迦 葉 親 承  祖 禰 不 了  殃 及 兒 孫  
ZH_X65_1282_001:0264a17	如何是佛正法眼藏帶。	001	如 何 是 佛 正 法 眼 藏 帶  
ZH_X65_1282_001:0264a18	三山來云。一滴傳一滴。頌曰。佛正法眼。黃面親	001	三 山 來 云  一 滴 傳 一 滴  頌 曰  佛 正 法 眼  黃 面 親 
ZH_X65_1282_001:0264a19	傳。破顏笑後。滅瞎驢邊。	001	傳  破 顏 笑 後  滅 瞎 驢 邊  
ZH_X65_1282_001:0264a20	佛法藏帶　別傳教外無言說。三藏圓收體性同。	001	佛 法 藏 帶  別 傳 教 外 無 言 說  三 藏 圓 收 體 性 同  
ZH_X65_1282_001:0264a21	吾佛法藏。撈摝眾生。百千三昧。彈指圓成。	001	吾 佛 法 藏  撈 摝 眾 生  百 千 三 昧  彈 指 圓 成  
ZH_X65_1282_001:0264a22	如何是佛法藏帶。	001	如 何 是 佛 法 藏 帶  
ZH_X65_1282_001:0264a23	三山來云。芥子納須彌。頌曰。佛法寶藏。不用思	001	三 山 來 云  芥 子 納 須 彌  頌 曰  佛 法 寶 藏  不 用 思 
ZH_X65_1282_001:0264a24	量。點頭三下。自肯承當。	001	量  點 頭 三 下  自 肯 承 當  
ZH_X65_1282_001:0264b01	理貫帶　烏雞半夜鳴何處。枯木花開劫外春。	001	理 貫 帶  烏 雞 半 夜 鳴 何 處  枯 木 花 開 劫 外 春  
ZH_X65_1282_001:0264b02	理貫全收。萬派同流。毗盧華藏。物物頭頭。	001	理 貫 全 收  萬 派 同 流  毗 盧 華 藏  物 物 頭 頭  
ZH_X65_1282_001:0264b03	如何是理貫帶。	001	如 何 是 理 貫 帶  
ZH_X65_1282_001:0264b04	三山來云。掉頭背後看。頌曰。至理無言。絕妙絕	001	三 山 來 云  掉 頭 背 後 看  頌 曰  至 理 無 言  絕 妙 絕 
ZH_X65_1282_001:0264b05	玄。一囊包括。威音那邊。	001	玄  一 囊 包 括  威 音 那 邊  
ZH_X65_1282_001:0264b06	事貫帶　羣生造化承斯力。一道靈光觸處周。	001	事 貫 帶  羣 生 造 化 承 斯 力  一 道 靈 光 觸 處 周  
ZH_X65_1282_001:0264b07	事貫有無。纖塵不漏。萬象森羅。全機無咎。	001	事 貫 有 無  纖 塵 不 漏  萬 象 森 羅  全 機 無 咎  
ZH_X65_1282_001:0264b08	如何是事貫帶。	001	如 何 是 事 貫 帶  
ZH_X65_1282_001:0264b09	三山來云。處處却逢渠。頌曰。事事通貫。非異非	001	三 山 來 云  處 處 却 逢 渠  頌 曰  事 事 通 貫  非 異 非 
ZH_X65_1282_001:0264b10	同。塵塵剎剎。明月清風。	001	同  塵 塵 剎 剎  明 月 清 風  
ZH_X65_1282_001:0264b11	理事縱橫帶　應物行權無定法。隨緣立理絕羅籠。	001	理 事 縱 橫 帶  應 物 行 權 無 定 法  隨 緣 立 理 絕 羅 籠  
ZH_X65_1282_001:0264b12	理事縱橫。照用齊行。者邊那邊。日午三更。	001	理 事 縱 橫  照 用 齊 行  者 邊 那 邊  日 午 三 更  
ZH_X65_1282_001:0264b13	如何是理事縱橫帶。	001	如 何 是 理 事 縱 橫 帶  
ZH_X65_1282_001:0264b14	三山來云。一任放去收來。頌曰。理事縱橫。柳陌	001	三 山 來 云  一 任 放 去 收 來  頌 曰  理 事 縱 橫  柳 陌 
ZH_X65_1282_001:0264b15	花邨。無二無別。信步放行。	001	花 邨  無 二 無 別  信 步 放 行  
ZH_X65_1282_001:0264b16	屈曲垂帶　垂絲千尺鈎還曲。利物多方語帶悲。	001	屈 曲 垂 帶  垂 絲 千 尺 鈎 還 曲  利 物 多 方 語 帶 悲  
ZH_X65_1282_001:0264b17	屈曲埀慈。棒喝齊施。覆藏密旨。少室靈枝。	001	屈 曲 埀 慈  棒 喝 齊 施  覆 藏 密 旨  少 室 靈 枝  
ZH_X65_1282_001:0264b18	如何是屈曲垂帶。	001	如 何 是 屈 曲 垂 帶  
ZH_X65_1282_001:0264b19	三山來云。為憐三歲子。不惜兩莖眉。頌曰。屈己	001	三 山 來 云  為 憐 三 歲 子  不 惜 兩 莖 眉  頌 曰  屈 己 
ZH_X65_1282_001:0264b20	垂慈。苦心誰知。千般委曲。萬種提撕。	001	垂 慈  苦 心 誰 知  千 般 委 曲  萬 種 提 撕  
ZH_X65_1282_001:0264b21	妙叶兼帶　同生同死機難測。雙放雙收用最奇。	001	妙 叶 兼 帶  同 生 同 死 機 難 測  雙 放 雙 收 用 最 奇  
ZH_X65_1282_001:0264b22	妙叶真機。境物如如。是凡是聖。無歉無餘。	001	妙 叶 真 機  境 物 如 如  是 凡 是 聖  無 歉 無 餘  
ZH_X65_1282_001:0264b23	如何是妙叶兼帶。	001	如 何 是 妙 叶 兼 帶  
ZH_X65_1282_001:0264b24	三山來云。正徧非獨立。借句亦雙行。頌曰。妙叶	001	三 山 來 云  正 徧 非 獨 立  借 句 亦 雙 行  頌 曰  妙 叶 
ZH_X65_1282_001:0264c01	兼帶。臨機自在。用出天然。無滯無礙。	001	兼 帶  臨 機 自 在  用 出 天 然  無 滯 無 礙  
ZH_X65_1282_001:0264c02	金針雙鎖帶　直呈大道機關密。突出全機理事玄。	001	金 針 雙 鎖 帶  直 呈 大 道 機 關 密  突 出 全 機 理 事 玄  
ZH_X65_1282_001:0264c03	金針雙鎖。全心印可。有句無句。千花萬朵。	001	金 針 雙 鎖  全 心 印 可  有 句 無 句  千 花 萬 朵  
ZH_X65_1282_001:0264c04	如何是金針雙鎖帶。	001	如 何 是 金 針 雙 鎖 帶  
ZH_X65_1282_001:0264c05	三山來云。山前山後兩鈎連。頌曰。金針雙鏁。兩	001	三 山 來 云  山 前 山 後 兩 鈎 連  頌 曰  金 針 雙 鏁  兩 
ZH_X65_1282_001:0264c06	兩圓通。理事不二。妙用無窮。	001	兩 圓 通  理 事 不 二  妙 用 無 窮  
ZH_X65_1282_001:0264c07	平懷常實帶　喫飯喫茶無別事。見山見水總皆然。	001	平 懷 常 實 帶  喫 飯 喫 茶 無 別 事  見 山 見 水 總 皆 然  
ZH_X65_1282_001:0264c08	平懷常實。事圓理極。露柱燈籠。無得無失。	001	平 懷 常 實  事 圓 理 極  露 柱 燈 籠  無 得 無 失  
ZH_X65_1282_001:0264c09	如何是平懷常實帶。	001	如 何 是 平 懷 常 實 帶  
ZH_X65_1282_001:0264c10	三山來云。色色本來人。頌曰。平懷常實。隨來隨	001	三 山 來 云  色 色 本 來 人  頌 曰  平 懷 常 實  隨 來 隨 
ZH_X65_1282_001:0264c11	去。不用思量。頭頭俱是。	001	去  不 用 思 量  頭 頭 俱 是  
ZH_X65_1282_001:0264c12	浮山每於示徒之際。遍舉宗門語句。而學者編集。乞	001	浮 山 每 於 示 徒 之 際  遍 舉 宗 門 語 句  而 學 者 編 集  乞 
ZH_X65_1282_001:0264c13	山名之。因其類聚。目之曰佛祖宗教義九帶集。又曰。	001	山 名 之  因 其 類 聚  目 之 曰 佛 祖 宗 教 義 九 帶 集  又 曰  
ZH_X65_1282_001:0264c14	若據圓極法門。本具十數。今此九帶已為諸人說了	001	若 據 圓 極 法 門  本 具 十 數  今 此 九 帶 已 為 諸 人 說 了 
ZH_X65_1282_001:0264c15	也。更有一帶。還見麼。若見得親切分明。却親出來說	001	也  更 有 一 帶  還 見 麼  若 見 得 親 切 分 明  却 親 出 來 說 
ZH_X65_1282_001:0264c16	看。說得相應。則通前九帶。圓明道眼。若見不親切。說	001	看  說 得 相 應  則 通 前 九 帶  圓 明 道 眼  若 見 不 親 切  說 
ZH_X65_1282_001:0264c17	不相應。但依吾語言以為見解。則名謗法。無有是處。	001	不 相 應  但 依 吾 語 言 以 為 見 解  則 名 謗 法  無 有 是 處  
ZH_X65_1282_001:0264c18	到此合作麼生。眾罔措。山遂叱散。	001	到 此 合 作 麼 生  眾 罔 措  山 遂 叱 散  
ZH_X65_1282_001:0264c19	三山來云。浮山九帶之語已是理事俱備。體用全	001	三 山 來 云  浮 山 九 帶 之 語 已 是 理 事 俱 備  體 用 全 
ZH_X65_1282_001:0264c20	該。曲盡禪宗旨趣。然語句血脈暗與曹洞相通。可	001	該  曲 盡 禪 宗 旨 趣  然 語 句 血 脈 暗 與 曹 洞 相 通  可 
ZH_X65_1282_001:0264c21	見宗旨符合處。學者不可泥辭害理。須看一帶字。	001	見 宗 旨 符 合 處  學 者 不 可 泥 辭 害 理  須 看 一 帶 字  
ZH_X65_1282_001:0264c22	妙叶無方。事聯乎理。理聯乎事。體聯乎用。用聯乎	001	妙 叶 無 方  事 聯 乎 理  理 聯 乎 事  體 聯 乎 用  用 聯 乎 
ZH_X65_1282_001:0264c23	體。內外聯貫。兼帶不窮。切忌十分分疎。作一段一	001	體  內 外 聯 貫  兼 帶 不 窮  切 忌 十 分 分 疎  作 一 段 一 
ZH_X65_1282_001:0264c24	段說話。便非九帶之義矣。有識者鑑之。	001	段 說 話  便 非 九 帶 之 義 矣  有 識 者 鑑 之  
ZH_X65_1282_001:0265a01	黃龍南禪師問隆慶閑云。人人有箇生緣。上座生緣	001	黃 龍 南 禪 師 問 隆 慶 閑 云  人 人 有 箇 生 緣  上 座 生 緣 
ZH_X65_1282_001:0265a02	在甚麼處。閑云。早晨喫白粥。至晚又覺饑。又問。我手	001	在 甚 麼 處  閑 云  早 晨 喫 白 粥  至 晚 又 覺 饑  又 問  我 手 
ZH_X65_1282_001:0265a03	何似佛手。閑云。月下弄琵琶。又問。我脚何似驢脚。閑	001	何 似 佛 手  閑 云  月 下 弄 琵 琶  又 問  我 脚 何 似 驢 脚  閑 
ZH_X65_1282_001:0265a04	云。鷺鷥立雪非同色。黃龍每以此三轉語垂問學者。	001	云  鷺 鷥 立 雪 非 同 色  黃 龍 每 以 此 三 轉 語 垂 問 學 者  
ZH_X65_1282_001:0265a05	莫契其旨。脫有酬者。亦未甞可否。叢林目之為黃龍	001	莫 契 其 旨  脫 有 酬 者  亦 未 甞 可 否  叢 林 目 之 為 黃 龍 
ZH_X65_1282_001:0265a06	三關。南州居士潘興嗣問其故。龍云。已過關者。掉臂	001	三 關  南 州 居 士 潘 興 嗣 問 其 故  龍 云  已 過 關 者  掉 臂 
ZH_X65_1282_001:0265a07	而去。從關吏問可否者。未過關者也。復自頌云。我手	001	而 去  從 關 吏 問 可 否 者  未 過 關 者 也  復 自 頌 云  我 手 
ZH_X65_1282_001:0265a08	佛手兼舉。禪人直下薦取。不動干戈道出。當下超佛	001	佛 手 兼 舉  禪 人 直 下 薦 取  不 動 干 戈 道 出  當 下 超 佛 
ZH_X65_1282_001:0265a09	越祖。我脚驢脚竝行。步步踏著無生。會得雲收月皎。	001	越 祖  我 脚 驢 脚 竝 行  步 步 踏 著 無 生  會 得 雲 收 月 皎  
ZH_X65_1282_001:0265a10	方知此道縱橫。生緣有語人皆委。水母何曾離得蝦。	001	方 知 此 道 縱 橫  生 緣 有 語 人 皆 委  水 母 何 曾 離 得 蝦  
ZH_X65_1282_001:0265a11	但見日頭東畔出。誰能更喫趙州茶。生緣斷處垂驢	001	但 見 日 頭 東 畔 出  誰 能 更 喫 趙 州 茶  生 緣 斷 處 垂 驢 
ZH_X65_1282_001:0265a12	脚。驢脚伸時佛手開。為報五湖參學者。三關一一透	001	脚  驢 脚 伸 時 佛 手 開  為 報 五 湖 參 學 者  三 關 一 一 透 
ZH_X65_1282_001:0265a13	將來。	001	將 來  
ZH_X65_1282_001:0265a14	黃龍三關	001	黃 龍 三 關 
ZH_X65_1282_001:0265a15	我手何似佛手　一任揀取。拈來便用。	001	我 手 何 似 佛 手  一 任 揀 取  拈 來 便 用  
ZH_X65_1282_001:0265a16	我手何似佛手。拈起扇子擗口。打落帝釋花冠。却	001	我 手 何 似 佛 手  拈 起 扇 子 擗 口  打 落 帝 釋 花 冠  却 
ZH_X65_1282_001:0265a17	是寒山埽箒。	001	是 寒 山 埽 箒  
ZH_X65_1282_001:0265a18	如何是我手何似佛手。	001	如 何 是 我 手 何 似 佛 手  
ZH_X65_1282_001:0265a19	三山來云。活鱍鱍地。頌曰。我手何似佛手。生來	001	三 山 來 云  活 鱍 鱍 地  頌 曰  我 手 何 似 佛 手  生 來 
ZH_X65_1282_001:0265a20	快便抖擻。伸出十指分明。駭得魚龍競走。	001	快 便 抖 擻  伸 出 十 指 分 明  駭 得 魚 龍 競 走  
ZH_X65_1282_001:0265a21	我脚何似驢脚　走遍天涯。踏著是路。	001	我 脚 何 似 驢 脚  走 遍 天 涯  踏 著 是 路  
ZH_X65_1282_001:0265a22	我脚何似驢脚。車輪頓生八角。三千剎海波澄。一	001	我 脚 何 似 驢 脚  車 輪 頓 生 八 角  三 千 剎 海 波 澄  一 
ZH_X65_1282_001:0265a23	陣西風葉落。	001	陣 西 風 葉 落  
ZH_X65_1282_001:0265a24	如何是我脚何似驢脚。	001	如 何 是 我 脚 何 似 驢 脚  
ZH_X65_1282_001:0265b01	三山來云。莫亂走。頌曰。我脚何似驢脚。南北東	001	三 山 來 云  莫 亂 走  頌 曰  我 脚 何 似 驢 脚  南 北 東 
ZH_X65_1282_001:0265b02	西斟酌。一任到處風流。究竟無容摸索。	001	西 斟 酌  一 任 到 處 風 流  究 竟 無 容 摸 索  
ZH_X65_1282_001:0265b03	人人有箇生緣　喫飯穿衣。承誰恩力。	001	人 人 有 箇 生 緣  喫 飯 穿 衣  承 誰 恩 力  
ZH_X65_1282_001:0265b04	人人盡有生緣。落花流水桃源。過後再無尋處。滿	001	人 人 盡 有 生 緣  落 花 流 水 桃 源  過 後 再 無 尋 處  滿 
ZH_X65_1282_001:0265b05	蓑烟雨漁邨。	001	蓑 烟 雨 漁 邨  
ZH_X65_1282_001:0265b06	如何是人人有箇生緣。	001	如 何 是 人 人 有 箇 生 緣  
ZH_X65_1282_001:0265b07	三山來云。十分現成。頌曰。人人有箇生緣。朝朝	001	三 山 來 云  十 分 現 成  頌 曰  人 人 有 箇 生 緣  朝 朝 
ZH_X65_1282_001:0265b08	日日往還。不是本來快足。賺殺李四張三。	001	日 日 往 還  不 是 本 來 快 足  賺 殺 李 四 張 三  
ZH_X65_1282_001:0265b09	南堂示眾云。參學至要不出箇最初末後句。透得過	001	南 堂 示 眾 云  參 學 至 要 不 出 箇 最 初 末 後 句  透 得 過 
ZH_X65_1282_001:0265b10	者。平生事畢。其或未然。更與你分作十門。各用印證	001	者  平 生 事 畢  其 或 未 然  更 與 你 分 作 十 門  各 用 印 證 
ZH_X65_1282_001:0265b11	自心。看得穩當也未。	001	自 心  看 得 穩 當 也 未  
ZH_X65_1282_001:0265b12	南堂辨驗十門	001	南 堂 辨 驗 十 門 
ZH_X65_1282_001:0265b13	一．須信有教外別傳　從來不疑。	001	一  須 信 有 教 外 別 傳  從 來 不 疑  
ZH_X65_1282_001:0265b14	三山來頌云。教外別傳誰不信。纔聞舉著低頭聽。	001	三 山 來 頌 云  教 外 別 傳 誰 不 信  纔 聞 舉 著 低 頭 聽  
ZH_X65_1282_001:0265b15	不知賺殺多少人。千古萬古成藥病。	001	不 知 賺 殺 多 少 人  千 古 萬 古 成 藥 病  
ZH_X65_1282_001:0265b16	二．須知有教外別傳　看破了也。	001	二  須 知 有 教 外 別 傳  看 破 了 也  
ZH_X65_1282_001:0265b17	三山來頌云。教外別傳人盡知。如泥如醉又如癡。	001	三 山 來 頌 云  教 外 別 傳 人 盡 知  如 泥 如 醉 又 如 癡  
ZH_X65_1282_001:0265b18	忽然平地翻筋斗。耳朵原是兩片皮。	001	忽 然 平 地 翻 筋 斗  耳 朵 原 是 兩 片 皮  
ZH_X65_1282_001:0265b19	三．須會無情說法與有情說法無二　入耳無異聲。	001	三  須 會 無 情 說 法 與 有 情 說 法 無 二  入 耳 無 異 聲  
ZH_X65_1282_001:0265b20	三山來頌云。無情有情均說法。聽得分明沒搭撒。	001	三 山 來 頌 云  無 情 有 情 均 說 法  聽 得 分 明 沒 搭 撒  
