segmentnr	original	folio	analyzed
ZH_X60_1129_002:0686a19	於己生疑。雖親附人。人不見信。常為賢聖之所訶責。	002	於 己 生 疑  雖 親 附 人  人 不 見 信  常 為 賢 聖 之 所 訶 責  
ZH_X60_1129_002:0686a20	是名現在惡業之果。捨此身已。墮於地獄。受得惡色	002	是 名 現 在 惡 業 之 果  捨 此 身 已  墮 於 地 獄  受 得 惡 色 
ZH_X60_1129_002:0686a21	惡力惡名。饑渴苦惱。壽命長遠。是名後世惡業之果。	002	惡 力 惡 名  饑 渴 苦 惱  壽 命 長 遠  是 名 後 世 惡 業 之 果  
ZH_X60_1129_002:0686a22	若得人身。貧於財物。雖得隨失。不為父母兄弟妻子	002	若 得 人 身  貧 於 財 物  雖 得 隨 失  不 為 父 母 兄 弟 妻 子 
ZH_X60_1129_002:0686a23	之所愛念。身常受苦。心懷愁惱。是一惡人因緣力故。	002	之 所 愛 念  身 常 受 苦  心 懷 愁 惱  是 一 惡 人 因 緣 力 故  
ZH_X60_1129_002:0686a24	一切人民凡所食噉。不得色力。是人惡果。殃流萬姓	002	一 切 人 民 凡 所 食 噉  不 得 色 力  是 人 惡 果  殃 流 萬 姓 
ZH_X60_1129_002:0686b01	　善男子。若復有人。樂於妄語。是人現得惡口惡色。	002	 善 男 子  若 復 有 人  樂 於 妄 語  是 人 現 得 惡 口 惡 色  
ZH_X60_1129_002:0686b02	所言雖實。人不信受。眾皆憎惡。不喜見之。是名現世	002	所 言 雖 實  人 不 信 受  眾 皆 憎 惡  不 喜 見 之  是 名 現 世 
ZH_X60_1129_002:0686b03	惡業之報。捨此身已。入於地獄。受大苦楚。饑渴熱惱。	002	惡 業 之 報  捨 此 身 已  入 於 地 獄  受 大 苦 楚  饑 渴 熱 惱  
ZH_X60_1129_002:0686b04	是名後世惡業之報。若得人身。口不具足。所說雖實。	002	是 名 後 世 惡 業 之 報  若 得 人 身  口 不 具 足  所 說 雖 實  
ZH_X60_1129_002:0686b05	人不信受。見者不樂。雖說正法。人不樂聞。是一惡人	002	人 不 信 受  見 者 不 樂  雖 說 正 法  人 不 樂 聞  是 一 惡 人 
ZH_X60_1129_002:0686b06	因緣力故。一切外物資產減少　善男子。若復有人	002	因 緣 力 故  一 切 外 物 資 產 減 少  善 男 子  若 復 有 人 
ZH_X60_1129_002:0686b07	樂飲酒者。是人現世喜失財物。身心病多。常樂鬬諍。	002	樂 飲 酒 者  是 人 現 世 喜 失 財 物  身 心 病 多  常 樂 鬬 諍  
ZH_X60_1129_002:0686b08	惡名遠聞。喪失智慧。心無慚愧。得惡色力。常為一切	002	惡 名 遠 聞  喪 失 智 慧  心 無 慚 愧  得 惡 色 力  常 為 一 切 
ZH_X60_1129_002:0686b09	之所呵責。人不喜見。不能修善。是名飲酒現在惡報。	002	之 所 呵 責  人 不 喜 見  不 能 修 善  是 名 飲 酒 現 在 惡 報  
ZH_X60_1129_002:0686b10	捨此身已。處在地獄。受饑渴等無量苦惱。是名後世	002	捨 此 身 已  處 在 地 獄  受 饑 渴 等 無 量 苦 惱  是 名 後 世 
ZH_X60_1129_002:0686b11	惡業之果。若得人身。心常狂亂。不能繫念。思惟善法。	002	惡 業 之 果  若 得 人 身  心 常 狂 亂  不 能 繫 念  思 惟 善 法  
ZH_X60_1129_002:0686b12	是一惡人因緣力故。一切外物資產臰爛　善男子。	002	是 一 惡 人 因 緣 力 故  一 切 外 物 資 產 臰 爛  善 男 子  
ZH_X60_1129_002:0686b13	若復有人樂為邪婬。是人不能護自他身。一切眾生。	002	若 復 有 人 樂 為 邪 婬  是 人 不 能 護 自 他 身  一 切 眾 生  
ZH_X60_1129_002:0686b14	見皆生疑。所作之事。妄語在先。於一切時。常受苦惱。	002	見 皆 生 疑  所 作 之 事  妄 語 在 先  於一切時  常 受 苦 惱  
ZH_X60_1129_002:0686b15	心常散亂。不能修善。喜失財物。所有妻子。心不戀慕。	002	心 常 散 亂  不 能 修 善  喜 失 財 物  所 有 妻 子  心 不 戀 慕  
ZH_X60_1129_002:0686b16	壽命短促。是名邪婬現在惡果。捨此身已。處在地獄。	002	壽 命 短 促  是 名 邪 婬 現 在 惡 果  捨 此 身 已  處 在 地 獄  
ZH_X60_1129_002:0686b17	受惡色力。饑渴長命。無量苦惱。是名後世惡業果報。	002	受 惡 色 力  饑 渴 長 命  無 量 苦 惱  是 名 後 世 惡 業 果 報  
ZH_X60_1129_002:0686b18	若得人身。惡色惡口。人不喜見。不能守護妻妾男女。	002	若 得 人 身  惡 色 惡 口  人 不 喜 見  不 能 守 護 妻 妾 男 女  
ZH_X60_1129_002:0686b19	是一惡人因緣力故。一切外物不得自在　善男子。	002	是 一 惡 人 因 緣 力 故  一 切 外 物 不得自在  善 男 子  
ZH_X60_1129_002:0686b20	受優婆塞戒。有五處。所不應遊。屠兒。婬女。酒肆。國王。	002	受 優婆塞戒  有 五 處  所 不 應 遊  屠 兒  婬 女  酒 肆  國 王  
ZH_X60_1129_002:0686b21	旃陀羅舍。善男子。受優婆塞戒。有五事。所不應作。一	002	旃 陀 羅 舍  善 男 子  受 優婆塞戒  有 五 事  所 不 應 作  一 
ZH_X60_1129_002:0686b22	者不賣生命。二者不賣刀劒。三者不賣毒藥。四者不	002	者 不 賣 生 命  二 者 不 賣 刀 劒  三 者 不 賣 毒 藥  四 者 不 
ZH_X60_1129_002:0686b23	沽酒。五者不壓油(外國麻中有蟲。故犯。此方無蟲。應不犯)。善男子。受優	002	沽 酒  五 者 不 壓 油  外 國 麻 中 有 蟲  故 犯  此 方 無 蟲  應 不 犯   善 男 子  受 優 
ZH_X60_1129_002:0686b24	婆塞戒。復有三事。所不應為。一者不得作羅網。二者	002	婆 塞 戒  復 有 三 事  所 不 應 為  一 者 不 得 作 羅 網  二 者 
ZH_X60_1129_002:0686c01	不得作藍染(外國染五大色。多殺蟲故。此方染青。亦多殺蟲。入五大色數)三者不	002	不 得 作 藍 染  外 國 染 五 大 色  多 殺 蟲 故  此 方 染 青  亦 多 殺 蟲  入 五 大 色 數  三 者 不 
ZH_X60_1129_002:0686c02	得釀皮。善男子。受優婆塞戒。復有二事不應為。一者	002	得 釀 皮  善 男 子  受 優婆塞戒  復 有 二 事 不 應 為  一 者 
ZH_X60_1129_002:0686c03	樗蒲。圍碁。六博。二者種種歌舞妓樂。善男子。受優婆	002	樗 蒲  圍 碁  六 博  二 者 種 種 歌 舞 妓 樂  善 男 子  受 優 婆 
ZH_X60_1129_002:0686c04	塞戒。有四種人。不應親近。一者棊博。二者飲酒。三者	002	塞 戒  有 四 種 人  不 應 親 近  一 者 棊 博  二 者 飲 酒  三 者 
ZH_X60_1129_002:0686c05	欺誑。四者酤酒。善男子。受優婆塞戒。有法放逸。所不	002	欺 誑  四 者 酤 酒  善 男 子  受 優婆塞戒  有 法 放 逸  所 不 
ZH_X60_1129_002:0686c06	應作。何等放逸。寒時。熱時。饑時。渴時。多食飽時。清旦	002	應 作  何 等 放 逸  寒 時  熱 時  饑 時  渴 時  多 食 飽 時  清 旦 
ZH_X60_1129_002:0686c07	暮時。懅時。作時。初欲作時。失時。怖時。喜時賊難穀貴	002	暮 時  懅 時  作 時  初 欲 作 時  失 時  怖 時  喜 時 賊 難 穀 貴 
ZH_X60_1129_002:0686c08	時。病苦少壯年衰老時。富時。貧時。為命財時。如是時	002	時  病 苦 少 壯 年 衰 老 時  富 時  貧 時  為 命 財 時  如 是 時 
ZH_X60_1129_002:0686c09	中。不修善法。汝能離不。善男子。受優婆塞戒。先學世	002	中  不 修 善 法  汝 能 離 不  善 男 子  受 優婆塞戒  先 學 世 
ZH_X60_1129_002:0686c10	事。既學通達。如法求財。若得財物。作四分。一分應供	002	事  既 學 通 達  如 法 求 財  若 得 財 物  作 四 分  一 分 應 供 
ZH_X60_1129_002:0686c11	父母。己身。妻子眷屬。二分應作如法販轉。留餘一分。	002	父 母  己 身  妻子眷屬  二 分 應 作 如 法 販 轉  留 餘 一 分  
ZH_X60_1129_002:0686c12	藏積自用作福。善男子。財物不應寄附四處。一者老	002	藏 積 自 用 作 福  善 男 子  財 物 不 應 寄 附 四 處  一 者 老 
ZH_X60_1129_002:0686c13	人。二者遠處。三者惡人。四者大力。如是四處。不應寄	002	人  二 者 遠 處  三 者 惡 人  四 者 大 力  如 是 四 處  不 應 寄 
ZH_X60_1129_002:0686c14	附。善男子。受優婆塞戒。有四惡人。常應離之。一者樂	002	附  善 男 子  受 優婆塞戒  有 四 惡 人  常 應 離 之  一 者 樂 
ZH_X60_1129_002:0686c15	說他過。二者樂說邪見。三者口輭心惡。四者少作多	002	說 他 過  二 者 樂 說 邪 見  三 者 口 輭 心 惡  四 者 少 作 多 
ZH_X60_1129_002:0686c16	說。如是戒者。亦名初地。亦名導地。亦名平地。亦名等	002	說  如 是 戒 者  亦 名 初 地  亦 名 導 地  亦 名 平 地  亦 名 等 
ZH_X60_1129_002:0686c17	地。亦名慈地。亦名悲地。亦名佛跡。亦名一切功德根	002	地  亦 名 慈 地  亦 名 悲 地  亦 名 佛 跡  亦 名 一切功德 根 
ZH_X60_1129_002:0686c18	本。亦名福田。以是因緣。智者應當受持不毀。復次。戒	002	本  亦 名 福 田  以是因緣  智 者 應 當 受 持 不 毀  復 次  戒 
ZH_X60_1129_002:0686c19	有二果。一諸天樂。二菩提樂。智者應當求菩提樂。不	002	有 二 果  一 諸 天 樂  二 菩 提 樂  智 者 應 當 求 菩 提 樂  不 
ZH_X60_1129_002:0686c20	求諸天樂。智度論云。有三品持戒。若下持戒。生人中。	002	求 諸 天 樂  智 度 論 云  有 三 品 持 戒  若 下 持 戒  生 人 中  
ZH_X60_1129_002:0686c21	中持戒。生六欲天中。上持戒。又修四禪四空定。生色	002	中 持 戒  生 六 欲 天 中  上 持 戒  又 修 四 禪 四 空 定  生 色 
ZH_X60_1129_002:0686c22	無色界天中。上持戒。有三種。下清淨持戒。得阿羅漢。	002	無 色 界 天 中  上 持 戒  有 三 種  下 清 淨 持 戒  得阿羅漢  
ZH_X60_1129_002:0686c23	中清淨持戒。得辟支佛。上清淨持戒。得佛道。不著不	002	中 清 淨 持 戒  得 辟 支 佛  上 清 淨 持 戒  得 佛 道  不 著 不 
ZH_X60_1129_002:0686c24	倚。不破不缺。聖所讚愛。是為上清淨持戒。若人求大	002	倚  不 破 不 缺  聖 所 讚 愛  是 為 上 清 淨 持 戒  若 人 求 大 
ZH_X60_1129_002:0687a01	善利。當堅持戒。如惜重寶。如護身命。何以故。譬如大	002	善 利  當 堅 持 戒  如 惜 重 寶  如 護 身 命  何 以 故  譬 如 大 
ZH_X60_1129_002:0687a02	地。一切萬物。皆依地而住。戒亦如是。為一切善法住	002	地  一 切 萬 物  皆 依 地 而 住  戒 亦 如 是  為 一 切 善 法 住 
ZH_X60_1129_002:0687a03	處。又如無足欲行。無翅欲飛。無船欲度。是不可得。若	002	處  又 如 無 足 欲 行  無 翅 欲 飛  無 船 欲 度  是 不 可 得  若 
ZH_X60_1129_002:0687a04	無戒。欲求好果。亦復如是。若人棄捨此戒。雖居山苦。	002	無 戒  欲 求 好 果  亦復如是  若 人 棄 捨 此 戒  雖 居 山 苦  
ZH_X60_1129_002:0687a05	行。食果服藥。與禽獸無異。梵網經佛言。不受佛戒名	002	行  食 果 服 藥  與 禽 獸 無 異  梵 網 經 佛 言  不 受 佛 戒 名 
ZH_X60_1129_002:0687a06	為畜生。生生之處。不見三寶。如木石無心。名為外道。	002	為 畜 生  生 生 之 處  不 見 三 寶  如 木 石 無 心  名 為 外 道  
ZH_X60_1129_002:0687a07	邪見人輩。木頭無異。故經云。一切功德助道之行。舉	002	邪 見 人 輩  木 頭 無 異  故 經 云  一切功德 助 道 之 行  舉 
ZH_X60_1129_002:0687a08	要言之。以戒為本。持戒為始。以戒淨故。不斷佛種。成	002	要 言 之  以 戒 為 本  持 戒 為 始  以 戒 淨 故  不 斷 佛 種  成 
ZH_X60_1129_002:0687a09	等正覺。不斷法種。分別法性。不斷僧種。修無為道。以	002	等 正 覺  不 斷 法 種  分 別 法 性  不 斷 僧 種  修 無 為 道  以 
ZH_X60_1129_002:0687a10	持淨戒。相續不斷故。優婆塞戒經云。若至心能受持	002	持 淨 戒  相續不斷 故  優婆塞戒 經 云  若 至 心 能 受 持 
ZH_X60_1129_002:0687a11	如是戒者。是人名為優婆塞中分陀利華。優婆塞中	002	如 是 戒 者  是 人 名 為 優 婆 塞 中 分 陀 利 華  優 婆 塞 中 
ZH_X60_1129_002:0687a12	微妙上香。優婆塞中清淨蓮華。優婆塞中真實珍寶。	002	微 妙 上 香  優 婆 塞 中 清 淨 蓮 華  優 婆 塞 中 真 實 珍 寶  
ZH_X60_1129_002:0687a13	優婆塞中大丈夫人。善男子。如佛所說。菩薩二種。一	002	優 婆 塞 中 大 丈 夫 人  善 男 子  如 佛 所 說  菩 薩 二 種  一 
ZH_X60_1129_002:0687a14	者在家。二者出家。出家菩薩名為比丘。在家菩薩名	002	者 在 家  二 者 出 家  出 家 菩 薩 名 為 比 丘  在 家 菩 薩 名 
ZH_X60_1129_002:0687a15	為優婆塞。出家菩薩。持出家戒。是不為難。在家菩薩。	002	為 優 婆 塞  出 家 菩 薩  持 出 家 戒  是 不 為 難  在 家 菩 薩  
ZH_X60_1129_002:0687a16	持在家戒。是乃為難。何以故。在家之人。多惡因緣所	002	持 在 家 戒  是 乃 為 難  何 以 故  在 家 之 人  多 惡 因 緣 所 
ZH_X60_1129_002:0687a17	纏繞故(今此五戒。必從有德明師稟受。方乃得戒。若師不明。不能指示止持作犯。出世之要。故須	002	纏 繞 故  今 此 五 戒  必 從 有 德 明 師 稟 受  方 乃 得 戒  若 師 不 明  不 能 指 示 止 持 作 犯  出 世 之 要  故 須 
ZH_X60_1129_002:0687a18	授受。當依法教。如分別經云。阿難問佛。若時無明師傳教戒者。若有一人。書寫戒律。授與之。便可得度為道者	002	授 受  當 依 法 教  如 分 別 經 云  阿 難 問 佛  若 時 無 明 師 傳 教 戒 者  若 有 一 人  書 寫 戒 律  授 與 之  便 可 得 度 為 道 者 
ZH_X60_1129_002:0687a19	不。佛言。皆當得知禁法者。乃可授戒。不可以文字受。便為應法。何以故。佛為天上天下之大智。不可妄傳失旨。	002	不  佛 言  皆 當 得 知 禁 法 者  乃 可 授 戒  不 可 以 文 字 受  便 為 應 法  何 以 故  佛 為 天 上 天 下 之 大 智  不 可 妄 傳 失 旨  
ZH_X60_1129_002:0687a20	皆當明於戒法禁律。事事委練。乃為相授。不明戒法禁要之事。而妄授人戒法。違佛戒信。反用為是。罪不小也。	002	皆 當 明 於 戒 法 禁 律  事 事 委 練  乃 為 相 授  不 明 戒 法 禁 要 之 事  而 妄 授 人 戒 法  違 佛 戒 信  反 用 為 是  罪 不 小 也  
ZH_X60_1129_002:0687a21	猘狗經云。佛語阿難。後末世時。有弟子作師懶墯。無有智慧。不精佛法。欲得人供養。行授人戒法。是為賣戒。阿	002	猘 狗 經 云  佛 語 阿 難  後 末 世 時  有 弟 子 作 師 懶 墯  無 有 智 慧  不 精 佛 法  欲 得 人 供 養  行 授 人 戒 法  是 為 賣 戒  阿 
ZH_X60_1129_002:0687a22	諛隨人。見人貪殺。不與誡。見人嗜酒。不斷酒。謂多少可飲。如是教者。持人著泥犁中。阿難問佛。新發意者。值遇	002	諛 隨 人  見 人 貪 殺  不 與 誡  見 人 嗜 酒  不 斷 酒  謂 多 少 可 飲  如 是 教 者  持 人 著 泥 犁 中  阿 難 問 佛  新 發 意 者  值 遇 
ZH_X60_1129_002:0687a23	惡師。不曉不了。謂法當爾。至使信受其言。愚癡不解。更見名師。為可復重受戒不。佛言。於我法中曠大。極可得	002	惡 師  不 曉 不 了  謂 法 當 爾  至 使 信 受 其 言  愚 癡 不 解  更 見 名 師  為 可 復 重 受 戒 不  佛 言  於 我 法 中 曠 大  極 可 得 
ZH_X60_1129_002:0687a24	悔。更自懺洗。初發意時。心常矇冥。為惡師所誤。實自不知。更行受戒。始為入法。不知不曉時。非佛弟子。為是世	002	悔  更 自 懺 洗  初 發 意 時  心 常 矇 冥  為 惡 師 所 誤  實 自 不 知  更 行 受 戒  始 為 入 法  不 知 不 曉 時  非 佛 弟 子  為 是 世 
ZH_X60_1129_002:0687b01	間少善人耳。無有大功德)。善生長者。白佛言。世尊。菩薩已受優婆	002	間 少 善 人 耳  無 有 大 功 德   善 生 長 者  白 佛 言  世 尊  菩 薩 已 受 優 婆 
ZH_X60_1129_002:0687b02	塞戒。復當云何供養三寶。佛言。善男子。世間福田。凡	002	塞 戒  復 當 云 何 供養三寶  佛 言  善 男 子  世 間 福 田  凡 
ZH_X60_1129_002:0687b03	有三種。一報恩田。二功德田。三貧窮田。報恩田者。所	002	有 三 種  一 報 恩 田  二 功 德 田  三 貧 窮 田  報 恩 田 者  所 
ZH_X60_1129_002:0687b04	謂父母師長和尚。功德田者。從得煖法。乃至得阿耨	002	謂 父 母 師 長 和 尚  功 德 田 者  從 得 煖 法  乃 至 得 阿 耨 
ZH_X60_1129_002:0687b05	多羅三藐三菩提。貧窮田者。一切窮苦困厄之人。如	002	多 羅 三藐三菩提  貧 窮 田 者  一 切 窮 苦 困 厄 之 人  如 
ZH_X60_1129_002:0687b06	來世尊。是二種田。一報恩田。二功德田。法亦如是。是	002	來 世 尊  是 二 種 田  一 報 恩 田  二 功 德 田  法 亦 如 是  是 
ZH_X60_1129_002:0687b07	二種田。眾僧三種。一報恩田。二功德田。三貧窮田。以	002	二 種 田  眾 僧 三 種  一 報 恩 田  二 功 德 田  三 貧 窮 田  以 
ZH_X60_1129_002:0687b08	是因緣。菩薩已受優婆塞戒。當至心勤供養三寶。善	002	是 因 緣  菩 薩 已 受 優婆塞戒  當 至 心 勤 供養三寶  善 
ZH_X60_1129_002:0687b09	男子。如來即是一切法藏。是故智者。應當至心。勤心	002	男 子  如 來 即 是 一 切 法 藏  是 故 智 者  應 當 至 心  勤 心 
ZH_X60_1129_002:0687b10	供養生身。滅身。形儀。塔廟。若於曠野無塔廟處。常當	002	供 養 生 身  滅 身  形 儀  塔 廟  若 於 曠 野 無 塔 廟 處  常 當 
ZH_X60_1129_002:0687b11	繫念尊重讚歎。若自力作。若勸人作。見人作時。心生	002	繫 念 尊 重 讚 歎  若 自 力 作  若 勸 人 作  見 人 作 時  心 生 
ZH_X60_1129_002:0687b12	歡喜。如其自有功德力者。要多廣教眾多之人。而共	002	歡 喜  如 其 自 有 功 德 力 者  要 多 廣 教 眾 多 之 人  而 共 
ZH_X60_1129_002:0687b13	作之。既供養已。於己身中。莫生輕想。於三寶所。亦應	002	作 之  既 供 養 已  於 己 身 中  莫 生 輕 想  於 三 寶 所  亦 應 
ZH_X60_1129_002:0687b14	如是。凡所供養。不使人作。不為勝他。作時不悔。心不	002	如 是  凡 所 供 養  不 使 人 作  不 為 勝 他  作 時 不 悔  心 不 
ZH_X60_1129_002:0687b15	愁惱。合掌讚歎。恭敬尊重。若以一錢。至無量寶。若以	002	愁 惱  合 掌 讚 歎  恭 敬 尊 重  若 以 一 錢  至 無 量 寶  若 以 
ZH_X60_1129_002:0687b16	一線。至無量線。若以一華。至無量華。若以一香。至無	002	一 線  至 無 量 線  若 以 一 華  至 無 量 華  若 以 一 香  至 無 
ZH_X60_1129_002:0687b17	量香。若以一偈讚。至無量偈。若以一禮。至無量禮。若	002	量 香  若 以 一 偈 讚  至 無 量 偈  若 以 一 禮  至 無 量 禮  若 
ZH_X60_1129_002:0687b18	遶一帀。至無量帀。若一時中。乃至無量時中。若自獨	002	遶 一 帀  至 無 量 帀  若 一 時 中  乃 至 無 量 時 中  若 自 獨 
ZH_X60_1129_002:0687b19	作。若共人作。善男子。若能如是至心供養佛法僧者。	002	作  若 共 人 作  善 男 子  若 能 如 是 至 心 供 養 佛 法 僧 者  
ZH_X60_1129_002:0687b20	若我現在。及涅槃後。等無差別。涅槃經云。若於佛法。	002	若 我 現 在  及 涅 槃 後  等 無 差 別  涅 槃 經 云  若 於 佛 法  
ZH_X60_1129_002:0687b21	供養一香燈。乃至獻一華。則坐不動國。善守佛僧物。	002	供 養 一 香 燈  乃 至 獻 一 華  則 坐 不 動 國  善 守 佛 僧 物  
ZH_X60_1129_002:0687b22	塗掃佛僧地。像塔如母指。常生歡喜心。亦生不動國。	002	塗 掃 佛 僧 地  像 塔 如 母 指  常 生歡喜心  亦 生 不 動 國  
ZH_X60_1129_002:0687b23	此則淨土常嚴。不為三災所動也(不動國。即東方阿閦佛國)。佛告	002	此 則 淨 土 常 嚴  不 為 三 災 所 動 也  不 動 國  即 東 方 阿 閦 佛 國   佛 告 
ZH_X60_1129_002:0687b24	善生。若供養僧。即是供養佛僧二寶。若觀佛法功德	002	善 生  若 供 養 僧  即 是 供 養 佛 僧 二 寶  若 觀 佛 法 功 德 
ZH_X60_1129_002:0687c01	微妙。即是具足供養三寶。若人施時。不求果報。即是	002	微 妙  即 是 具 足 供養三寶  若 人 施 時  不 求 果 報  即 是 
ZH_X60_1129_002:0687c02	供養無上菩提。具足成熟檀波羅蜜。修菩提道。能得	002	供 養 無上菩提  具 足 成 熟 檀 波 羅 蜜  修 菩 提 道  能 得 
ZH_X60_1129_002:0687c03	未來無量功德。亦能自利。及利益他。智度論云。時佛	002	未 來 無量功德  亦 能 自 利  及 利 益 他  智 度 論 云  時 佛 
ZH_X60_1129_002:0687c04	姨母大愛道。以金色上上寶衣奉佛。佛勸施僧。能消	002	姨 母 大 愛 道  以 金 色 上 上 寶 衣 奉 佛  佛 勸 施 僧  能 消 
ZH_X60_1129_002:0687c05	能受。故知佛寶僧寶。福無多少。佛說偈言。若人敬愛	002	能 受  故 知 佛 寶 僧 寶  福 無 多 少  佛 說 偈 言  若 人 敬 愛 
ZH_X60_1129_002:0687c06	佛。亦當敬愛僧。不當有分別。同皆為寶故。大莊嚴論	002	佛  亦 當 敬 愛 僧  不 當 有 分 別  同 皆 為 寶 故  大 莊 嚴 論 
ZH_X60_1129_002:0687c07	云。眾僧功德海。無能測量者。佛尚生欣敬。自以百偈	002	云  眾 僧 功 德 海  無 能 測 量 者  佛 尚 生 欣 敬  自 以 百 偈 
ZH_X60_1129_002:0687c08	讚。況餘一切人。而當不稱歎。廣大良福田。種少獲大	002	讚  況 餘 一 切 人  而 當 不 稱 歎  廣 大 良 福 田  種 少 獲 大 
ZH_X60_1129_002:0687c09	利。是故於眾僧。耆老及少年。等心而供養。不應生分	002	利  是 故 於 眾 僧  耆 老 及 少 年  等 心 而 供 養  不 應 生 分 
ZH_X60_1129_002:0687c10	別。佛告善生。善男子。若人樂施。是人即壞五弊惡法。	002	別  佛 告 善 生  善 男 子  若 人 樂 施  是 人 即 壞 五 弊 惡 法  
ZH_X60_1129_002:0687c11	一者邪見。二者無信。三者放逸。四者慳貪。五者嗔癡。	002	一 者 邪 見  二 者 無 信  三 者 放 逸  四 者 慳 貪  五 者 嗔 癡  
ZH_X60_1129_002:0687c12	離是惡已。心生歡喜。因歡喜故。乃至獲得真正解脫。	002	離 是 惡 已  心生歡喜  因 歡 喜 故  乃 至 獲 得 真 正 解 脫  
ZH_X60_1129_002:0687c13	是人現在得四果報。一者一切樂見。乃至怨家。二者	002	是 人 現 在 得 四 果 報  一 者 一 切 樂 見  乃 至 怨 家  二 者 
ZH_X60_1129_002:0687c14	善名流布遍於四方。三者入大眾。時心無怖畏。四者	002	善 名 流 布 遍 於 四 方  三 者 入 大 眾  時 心 無 怖 畏  四 者 
ZH_X60_1129_002:0687c15	一切善人。樂來親附。善男子。修行施己。其心無悔。是	002	一 切 善 人  樂 來 親 附  善 男 子  修 行 施 己  其 心 無 悔  是 
ZH_X60_1129_002:0687c16	人若以客煩惱故。墮於地獄。雖處惡處。不饑不渴。以	002	人 若 以 客 煩 惱 故  墮 於 地 獄  雖 處 惡 處  不 饑 不 渴  以 
ZH_X60_1129_002:0687c17	是因緣。離二種苦。一鐵丸苦。二鐵漿苦。若畜生身。所	002	是 因 緣  離 二 種 苦  一 鐵 丸 苦  二 鐵 漿 苦  若 畜 生 身  所 
ZH_X60_1129_002:0687c18	須易得。無所匱乏。若餓鬼身。不受饑渴。常得飽滿。若	002	須 易 得  無 所 匱 乏  若 餓 鬼 身  不 受 饑 渴  常 得 飽 滿  若 
ZH_X60_1129_002:0687c19	得人身。壽命色力安樂辯才。及信戒施多聞智慧。勝	002	得 人 身  壽 命 色 力 安 樂 辯 才  及 信 戒 施 多 聞 智 慧  勝 
ZH_X60_1129_002:0687c20	於一切。雖處惡世。不為惡事。惡法生時終不隨受。於	002	於 一 切  雖 處 惡 世  不 為 惡 事  惡 法 生 時 終 不 隨 受  於 
ZH_X60_1129_002:0687c21	怖畏處。不生恐怖。若受天身。十事殊勝。復當深觀貧	002	怖 畏 處  不 生 恐 怖  若 受 天 身  十 事 殊 勝  復 當 深 觀 貧 
ZH_X60_1129_002:0687c22	窮之苦。豪貴快樂。是故繫心常樂行施。善男子。若人	002	窮 之 苦  豪 貴 快 樂  是 故 繫 心 常 樂 行 施  善 男 子  若 人 
ZH_X60_1129_002:0687c23	有財。見有求者。言無言匱。當知是人。已說來世貧窮	002	有 財  見 有 求 者  言 無 言 匱  當 知 是 人  已 說 來 世 貧 窮 
ZH_X60_1129_002:0687c24	薄德。如是之人。名為放逸。善男子。無財之人。自說無	002	薄 德  如 是 之 人  名 為 放 逸  善 男 子  無 財 之 人  自 說 無 
ZH_X60_1129_002:0688a01	財。是亦不然。何以故。一切水草。人無不有。雖是國主。	002	財  是 亦 不 然  何 以 故  一 切 水 草  人 無 不 有  雖 是 國 主  
ZH_X60_1129_002:0688a02	不必能施。雖是貧窮。非不能施。何以故。貧窮之人。亦	002	不 必 能 施  雖 是 貧 窮  非 不 能 施  何 以 故  貧 窮 之 人  亦 
ZH_X60_1129_002:0688a03	有食分。食已洗器。棄蕩滌汁。施應食者。亦得福德。若	002	有 食 分  食 已 洗 器  棄 蕩 滌 汁  施 應 食 者  亦 得 福 德  若 
ZH_X60_1129_002:0688a04	以塵麨施於蟻子。亦得無量福德果報。天下極貧。誰	002	以 塵 麨 施 於 蟻 子  亦 得 無量福德 果 報  天 下 極 貧  誰 
ZH_X60_1129_002:0688a05	當無此塵許麨耶。誰有一日食三揣麨。命不全者。是	002	當 無 此 塵 許 麨 耶  誰 有 一 日 食 三 揣 麨  命 不 全 者  是 
ZH_X60_1129_002:0688a06	故諸人。應以食半。食於乞者。善男子。極貧之人。誰有	002	故 諸 人  應 以 食 半  食 於 乞 者  善 男 子  極 貧 之 人  誰 有 
ZH_X60_1129_002:0688a07	赤裸無衣服者。若有衣服。豈無一綖施人繫瘡。一指	002	赤 裸 無 衣 服 者  若 有 衣 服  豈 無 一 綖 施 人 繫 瘡  一 指 
ZH_X60_1129_002:0688a08	許財。作燈炷耶。善男子。天下之人。誰有貧窮。當無身	002	許 財  作 燈 炷 耶  善 男 子  天 下 之 人  誰 有 貧 窮  當 無 身 
ZH_X60_1129_002:0688a09	者。如其有身。見他作福。身應往助。歡喜無厭。亦名施	002	者  如 其 有 身  見 他 作 福  身 應 往 助  歡 喜 無 厭  亦 名 施 
ZH_X60_1129_002:0688a10	主。亦得福德。或時有分。或有與等。或有勝者。以是因	002	主  亦 得 福 德  或 時 有 分  或 有 與 等  或 有 勝 者  以 是 因 
ZH_X60_1129_002:0688a11	緣。我受波斯匿王食時。亦呪願王。及貧窮人。所得福	002	緣  我 受 波 斯 匿 王 食 時  亦 呪 願 王  及 貧 窮 人  所 得 福 
ZH_X60_1129_002:0688a12	德。等無差別。善男子。如人買香。塗香。末香。散香。燒香。	002	德  等 無 差 別  善 男 子  如 人 買 香  塗 香  末 香  散 香  燒 香  
