segmentnr	original	folio	analyzed
ZH_X88_1658_002:0433b04	四天王同。右遶書云。天輪左轉。日月右旋。其日乃自	002	四 天 王 同  右 遶 書 云  天 輪 左 轉  日 月 右 旋  其 日 乃 自 
ZH_X88_1658_002:0433b05	西南東北而行。由日行遲而天輪速。故帶而轉遂。令	002	西 南 東 北 而 行  由 日 行 遲 而 天 輪 速  故 帶 而 轉 遂  令 
ZH_X88_1658_002:0433b06	人間謂日自東南西北而轉。智度論云。右遶者自東	002	人 間 謂 日 自 東 南 西 北 而 轉  智 度 論 云  右 遶 者 自 東 
ZH_X88_1658_002:0433b07	至南。自南至西。自西至北。自北至東。日月星辰圍遶	002	至 南  自 南 至 西  自 西 至 北  自 北 至 東  日 月 星 辰 圍 遶 
ZH_X88_1658_002:0433b08	須彌亦復如是。因本經云。日天宮殿繞須彌山半。常	002	須 彌 亦復如是  因 本 經 云  日 天 宮 殿 繞 須 彌 山 半  常 
ZH_X88_1658_002:0433b09	行不息。南閻浮提日正中時。東弗婆提日則始沒。西	002	行 不 息  南 閻 浮 提 日 正 中 時  東弗婆提 日 則 始 沒  西 
ZH_X88_1658_002:0433b10	瞿耶尼日將出時。北鬱單越正當夜半。六月北行漸	002	瞿 耶 尼 日 將 出 時  北 鬱 單 越 正 當 夜 半  六 月 北 行 漸 
ZH_X88_1658_002:0433b11	移向北。每日六俱盧舍。六月南行亦漸移向南。每日	002	移 向 北  每 日 六 俱 盧 舍  六 月 南 行 亦 漸 移 向 南  每 日 
ZH_X88_1658_002:0433b12	六俱盧舍(一俱盧舍乃六里也)。在閻浮提最極南垂。他形狹近。	002	六 俱 盧 舍  一 俱 盧 舍 乃 六 里 也   在 閻 浮 提 最 極 南 垂  他 形 狹 近  
ZH_X88_1658_002:0433b13	日過速疾於冬分時。晝短夜長。六月過已。漸向北行。	002	日 過 速 疾 於 冬 分 時  晝 短 夜 長  六 月 過 已  漸 向 北 行  
ZH_X88_1658_002:0433b14	每一日中移六俱盧舍。故在閻浮提洲處中而行。北	002	每 一 日 中 移 六 俱 盧 舍  故 在 閻 浮 提 洲 處 中 而 行  北 
ZH_X88_1658_002:0433b15	寬行久。所以晝長夜短。因本經云。須彌山外有佉提	002	寬 行 久  所 以 晝 長 夜 短  因 本 經 云  須 彌 山 外 有 佉 提 
ZH_X88_1658_002:0433b16	羅伽山等山。日天宮殿六月(此傳言。六月以六月陰。六月陽。如莊子六月息	002	羅 伽 山 等 山  日 天 宮 殿 六 月  此 傳 言  六 月 以 六 月 陰  六 月 陽  如 莊 子 六 月 息 
ZH_X88_1658_002:0433b17	者也。非謂定指季夏六月)之中向北道行。照觸彼山。令生熟故。又	002	者 也  非 謂 定 指 季 夏 六 月  之 中 向 北 道 行  照 觸 彼 山  令 生 熟 故  又 
ZH_X88_1658_002:0433b18	須彌山佉提羅伽山。二山之間有須彌留海。闊八萬	002	須 彌 山 佉 提 羅 伽 山  二 山 之 間 有 須 彌 留 海  闊 八 萬 
ZH_X88_1658_002:0433b19	四千由旬。日天宮殿六月之中向南行時。照觸彼海。	002	四 千 由 旬  日 天 宮 殿 六 月 之 中 向 南 行 時  照 觸 彼 海  
ZH_X88_1658_002:0433b20	令寒冷故。因本經云。日天子身光照閻浮檀。輦輦光	002	令 寒 冷 故  因 本 經 云  日 天 子 身 光 照 閻 浮 檀  輦 輦 光 
ZH_X88_1658_002:0433b21	照。宮殿光明相接。而有一千光明。五百傍照。五百下	002	照  宮 殿 光 明 相 接  而 有 一 千 光 明  五 百 傍 照  五 百 下 
ZH_X88_1658_002:0433b22	照其宮殿也。以天金及頗梨合成。起世經云。有五種	002	照 其 宮 殿 也  以 天 金 及 頗 梨 合 成  起 世 經 云  有 五 種 
ZH_X88_1658_002:0433b23	故。障其光明而暗。謂煙雲塵霧修羅手障。楞嚴經云。	002	故  障 其 光 明 而 暗  謂 煙 雲 塵 霧 修 羅 手 障  楞 嚴 經 云  
ZH_X88_1658_002:0433b24	惡業眾生同分妄見。遂見薄蝕。金光明中。由其國王	002	惡 業 眾 生 同 分 妄 見  遂 見 薄 蝕  金 光 明 中  由 其 國 王 
ZH_X88_1658_002:0433c01	專行暴惡。不修善事。故二日並現。或日月薄蝕。日月	002	專 行 暴 惡  不 修 善 事  故 二 日 並 現  或 日 月 薄 蝕  日 月 
ZH_X88_1658_002:0433c02	無光也。漢天文志云。日蝕。君王當修德也。夫日輪升	002	無 光 也  漢 天 文 志 云  日 蝕  君 王 當 修 德 也  夫 日 輪 升 
ZH_X88_1658_002:0433c03	天。六合皆照。則光明破暗。洎成熟萬物。功實大矣。乃	002	天  六 合 皆 照  則 光 明 破 暗  洎 成 熟 萬 物  功 實 大 矣  乃 
ZH_X88_1658_002:0433c04	日天子之賜。得不興供於法會焉。讚曰。	002	日 天 子 之 賜  得 不 興 供 於 法 會 焉  讚 曰  
ZH_X88_1658_002:0433c05	　日之炎體太陽精　　寶光天子禦宮城	002	 日 之 炎 體 太 陽 精   寶 光 天 子 禦 宮 城 
ZH_X88_1658_002:0433c06	　或號熾盛及勝意　　如是共有百種名	002	 或 號 熾 盛 及 勝 意   如 是 共 有 百 種 名 
ZH_X88_1658_002:0433c07	　由人成劫食香稻　　遂即能令黑暗生	002	 由 人 成 劫 食 香 稻   遂 即 能 令 黑 暗 生 
ZH_X88_1658_002:0433c08	　無量壽佛遣侍者　　菩薩名為寶應聲	002	 無 量 壽 佛 遣 侍 者   菩 薩 名 為 寶 應 聲 
ZH_X88_1658_002:0433c09	　來造日輪破長夜　　遂得眼目開昏盲	002	 來 造 日 輪 破 長 夜   遂 得 眼 目 開 昏 盲 
ZH_X88_1658_002:0433c10	　其城高廣千門啟　　一一無非七寶成	002	 其 城 高 廣 千 門 啟   一 一 無 非 七 寶 成 
ZH_X88_1658_002:0433c11	　由光照輦及宮殿　　兩處交接映光晶	002	 由 光 照 輦 及 宮 殿   兩 處 交 接 映 光 晶 
ZH_X88_1658_002:0433c12	　所以明曜射人目　　世間皆謂是圓形	002	 所 以 明 曜 射 人 目   世 間 皆 謂 是 圓 形 
ZH_X88_1658_002:0433c13	　晝夜周行四洲上　　五風運持不暫停	002	 晝 夜 周 行 四 洲 上   五 風 運 持 不 暫 停 
ZH_X88_1658_002:0433c14	　六月南行六月北　　遂令寒暑有相傾	002	 六 月 南 行 六 月 北   遂 令 寒 暑 有 相 傾 
ZH_X88_1658_002:0433c15	　晝夜短長寬狹異　　或時薄蝕有虧盈	002	 晝 夜 短 長 寬 狹 異   或 時 薄 蝕 有 虧 盈 
ZH_X88_1658_002:0433c16	　大哉照世光明主　　願臨法會赴虔誠	002	 大 哉 照 世 光 明 主   願 臨 法 會 赴 虔 誠 
ZH_X88_1658_002:0433c17	月宮天子傳	002	月 宮 天 子 傳 
ZH_X88_1658_002:0433c18	梵語婆奴。此翻光者。又翻月也。釋名云。月者闕也。太	002	梵 語 婆 奴  此 翻 光 者  又 翻 月 也  釋 名 云  月 者 闕 也  太 
ZH_X88_1658_002:0433c19	陰之精。陰星之宗。張衡云。水之精也。大威德經云。金	002	陰 之 精  陰 星 之 宗  張 衡 云  水 之 精 也  大 威 德 經 云  金 
ZH_X88_1658_002:0433c20	脂星主光者。空主宿王等。凡五百名。華嚴中月天子	002	脂 星 主 光 者  空 主 宿 王 等  凡 五 百 名  華 嚴 中 月 天 子 
ZH_X88_1658_002:0433c21	無量。今依法華云。月宮明月天子。成劫之時。人食香	002	無 量  今 依 法 華 云  月 宮 明 月 天 子  成 劫 之 時  人 食 香 
ZH_X88_1658_002:0433c22	稻。黑暗便生。吉祥菩薩造月輪以照夜。其修因壽量	002	稻  黑 暗 便 生  吉 祥 菩 薩 造 月 輪 以 照 夜  其 修 因 壽 量 
ZH_X88_1658_002:0433c23	並同日光天子也。其去地也。俱舍論云五十踰繕那。	002	並 同 日 光 天 子 也  其 去 地 也  俱 舍 論 云 五 十 踰 繕 那  
ZH_X88_1658_002:0433c24	阿含云月天子城郭縱廣五十由旬。阿含云。月宮城	002	阿 含 云 月 天 子 城 郭 縱 廣 五 十 由 旬  阿 含 云  月 宮 城 
ZH_X88_1658_002:0434a01	郭廣長一千九百六十里。俱舍云玻胝迦寶為體。水	002	郭 廣 長 一 千 九 百 六 十 里  俱 舍 云 玻 胝 迦 寶 為 體  水 
ZH_X88_1658_002:0434a02	珠所助。能照能冷。周一百五十由旬。立世阿毗曇云。	002	珠 所 助  能 照 能 冷  周 一 百 五 十 由 旬  立 世 阿 毗 曇 云  
ZH_X88_1658_002:0434a03	日月相去四萬八千八十由旬。日行疾三由旬。白月	002	日 月 相 去 四 萬 八 千 八 十 由 旬  日 行 疾 三 由 旬  白 月 
ZH_X88_1658_002:0434a04	初日在前。黑月初日在後。纓絡經云。以五風運持不	002	初 日 在 前  黑 月 初 日 在 後  纓 絡 經 云  以 五 風 運 持 不 
ZH_X88_1658_002:0434a05	令停住。起世經云。月圓闕者有三義故。一背相轉。由	002	令 停 住  起 世 經 云  月 圓 闕 者 有 三 義 故  一 背 相 轉  由 
ZH_X88_1658_002:0434a06	月天以天銀及琉璃合成。宮殿背相而轉漸圓者。白	002	月 天 以 天 銀 及 琉 璃 合 成  宮 殿 背 相 而 轉 漸 圓 者  白 
ZH_X88_1658_002:0434a07	銀見故。漸闕者琉璃面轉故。二青衣天所覆光。三日	002	銀 見 故  漸 闕 者 琉 璃 面 轉 故  二 青 衣 天 所 覆 光  三 日 
ZH_X88_1658_002:0434a08	光影覆。即日月相望及合璧而晦。因本經云。以何因	002	光 影 覆  即 日 月 相 望 及 合 璧 而 晦  因 本 經 云  以 何 因 
ZH_X88_1658_002:0434a09	緣月宮有影。此大洲中閻浮提樹高大。影現月輪。以	002	緣 月 宮 有 影  此 大 洲 中 閻 浮 提 樹 高 大  影 現 月 輪  以 
ZH_X88_1658_002:0434a10	此有影。蓮華經云。此樹有雞王。以棲其上。彼鳴則天	002	此 有 影  蓮 華 經 云  此 樹 有 雞 王  以 棲 其 上  彼 鳴 則 天 
ZH_X88_1658_002:0434a11	下雞皆鳴。法苑中云。婆羅痆斯國有三獸塔。是如來	002	下 雞 皆 鳴  法 苑 中 云  婆羅痆斯 國 有 三 獸 塔  是 如 來 
ZH_X88_1658_002:0434a12	修行時燒身之處。劫初有狐兔猿相悅為友。帝釋欲	002	修 行 時 燒 身 之 處  劫 初 有 狐 兔 猿 相 悅 為 友  帝 釋 欲 
ZH_X88_1658_002:0434a13	驗修菩薩行者。乃化作一老夫。安慰三獸。乃曰。今正	002	驗 修菩薩行 者  乃 化 作 一 老 夫  安 慰 三 獸  乃 曰  今 正 
ZH_X88_1658_002:0434a14	飢乏。何以饋食。狐取鮮鯉。猿採果實。唯兔空迴。兔令	002	飢 乏  何 以 饋 食  狐 取 鮮 鯉  猿 採 果 實  唯 兔 空 迴  兔 令 
ZH_X88_1658_002:0434a15	猿狐聚薪以火藏內。遂俟火熾投身火中。以身願充	002	猿 狐 聚 薪 以 火 藏 內  遂 俟 火 熾 投 身 火 中  以 身 願 充 
ZH_X88_1658_002:0434a16	一餐。老夫復帝釋身。感其心。故寄之月輪。傳乎後世。	002	一 餐  老 夫 復 帝 釋 身  感 其 心  故 寄 之 月 輪  傳 乎 後 世  
ZH_X88_1658_002:0434a17	咸言月中之兔。自斯而有。漢紀云。月行之道。黑道二	002	咸 言 月 中 之 兔  自 斯 而 有  漢 紀 云  月 行 之 道  黑 道 二 
ZH_X88_1658_002:0434a18	出黃道北。赤道二出黃道南。白道二出黃道東。立春	002	出 黃 道 北  赤 道 二 出 黃 道 南  白 道 二 出 黃 道 東  立 春 
ZH_X88_1658_002:0434a19	春分東從青道。立秋秋分西從白道。立冬冬至北從	002	春 分 東 從 青 道  立 秋 秋 分 西 從 白 道  立 冬 冬 至 北 從 
ZH_X88_1658_002:0434a20	黑道。立夏夏至南從赤道。青赤出陽道。白黑出陰道。	002	黑 道  立 夏 夏 至 南 從 赤 道  青 赤 出 陽 道  白 黑 出 陰 道  
ZH_X88_1658_002:0434a21	若夏月失節度而妄行。出陽道則旱。出陰道則水。楞	002	若 夏 月 失 節 度 而 妄 行  出 陽 道 則 旱  出 陰 道 則 水  楞 
ZH_X88_1658_002:0434a22	嚴經暈適背玦負耳虹蜺。種種惡相。淨覺解云。此皆	002	嚴 經 暈 適 背 玦 負 耳 虹 蜺  種 種 惡 相  淨 覺 解 云  此 皆 
ZH_X88_1658_002:0434a23	日月邊之惡氣也。漢天文志云。日月薄蝕。怪雲變氣。	002	日 月 邊 之 惡 氣 也  漢 天 文 志 云  日 月 薄 蝕  怪 雲 變 氣  
ZH_X88_1658_002:0434a24	皆陰陽之精。本在地而上應於天者也。政失於此而	002	皆 陰 陽 之 精  本 在 地 而 上 應 於 天 者 也  政 失 於 此 而 
ZH_X88_1658_002:0434b01	變見於彼。猶影之象形。響之應聲。又云。月者刑也。月	002	變 見 於 彼  猶 影 之 象 形  響 之 應 聲  又 云  月 者 刑 也  月 
ZH_X88_1658_002:0434b02	食修刑。是以說文凡禍福等字畫从示二。乃古文上	002	食 修 刑  是 以 說 文 凡 禍 福 等 字 畫 从 示 二  乃 古 文 上 
ZH_X88_1658_002:0434b03	字也。小者古文作巛。即日月星辰三光也。天欲令人	002	字 也  小 者 古 文 作 巛  即 日 月 星 辰 三 光 也  天 欲 令 人 
ZH_X88_1658_002:0434b04	悔過。必於三光以垂象。下示於人。令其知過必改也。	002	悔 過  必 於 三 光 以 垂 象  下 示 於 人  令 其 知 過 必 改 也  
ZH_X88_1658_002:0434b05	是知月光陰滋萬物。夜發光明。功次於日光者焉。讚	002	是 知 月 光 陰 滋 萬 物  夜 發 光 明  功 次 於 日 光 者 焉  讚 
ZH_X88_1658_002:0434b06	曰。	002	曰  
ZH_X88_1658_002:0434b07	　太陰之精號明月　　天子居于白銀宮	002	 太 陰 之 精 號 明 月   天 子 居 于 白 銀 宮 
ZH_X88_1658_002:0434b08	　成劫時人食香稻　　黑暗便生皆昏蒙	002	 成 劫 時 人 食 香 稻   黑 暗 便 生 皆 昏 蒙 
ZH_X88_1658_002:0434b09	　吉祥菩薩之所化　　月輪於是乘五風	002	 吉 祥 菩 薩 之 所 化   月 輪 於 是 乘 五 風 
ZH_X88_1658_002:0434b10	　玻胝迦寶水珠體　　能照能冷成陰功	002	 玻 胝 迦 寶 水 珠 體   能 照 能 冷 成 陰 功 
ZH_X88_1658_002:0434b11	　去地五十繕那許　　修因壽量與日同	002	 去 地 五 十 繕 那 許   修 因 壽 量 與 日 同 
ZH_X88_1658_002:0434b12	　右遶須彌常不息　　與日遲速咸住空	002	 右 遶 須 彌 常 不 息   與 日 遲 速 咸 住 空 
ZH_X88_1658_002:0434b13	　圓闕由于城面轉　　青衣天覆及曈朦	002	 圓 闕 由 于 城 面 轉   青 衣 天 覆 及 曈 朦 
ZH_X88_1658_002:0434b14	　閻浮提樹光影現　　上有天雞鳴其中	002	 閻 浮 提 樹 光 影 現   上 有 天 雞 鳴 其 中 
ZH_X88_1658_002:0434b15	　佛作兔時曾結友　　猿狐異類交情通	002	 佛 作 兔 時 曾 結 友   猿 狐 異 類 交 情 通 
ZH_X88_1658_002:0434b16	　帝釋試之觀大器　　各持所食共來供	002	 帝 釋 試 之 觀 大 器   各 持 所 食 共 來 供 
ZH_X88_1658_002:0434b17	　唯有兔時無物至　　自投入火以身充	002	 唯 有 兔 時 無 物 至   自 投 入 火 以 身 充 
ZH_X88_1658_002:0434b18	　帝釋感彼希有事　　月中寄迹傳無窮	002	 帝 釋 感 彼 希 有 事   月 中 寄 迹 傳 無 窮 
ZH_X88_1658_002:0434b19	　萬物賴月滋永夜　　宜尊寶像啟修崇	002	 萬 物 賴 月 滋 永 夜   宜 尊 寶 像 啟 修 崇 
ZH_X88_1658_002:0434b20	娑竭龍王傳	002	娑 竭 龍 王 傳 
ZH_X88_1658_002:0434b21	大集等經中云。娑竭羅。大雲請雨經及光明經曰。婆	002	大 集 等 經 中 云  娑 竭 羅  大 雲 請 雨 經 及 光 明 經 曰  婆 
ZH_X88_1658_002:0434b22	伽羅王。須彌藏等經曰。婆難陀。孔雀經云。娑薛羅。乃	002	伽 羅 王  須 彌 藏 等 經 曰  婆 難 陀  孔 雀 經 云  娑 薛 羅  乃 
ZH_X88_1658_002:0434b23	梵音楚夏。此云鹹海。華嚴疏梵語三慕達囉。此云龍	002	梵 音 楚 夏  此 云 鹹 海  華 嚴 疏 梵 語 三 慕 達 囉  此 云 龍 
ZH_X88_1658_002:0434b24	王。即大鹹海之中龍王也。須彌藏經云。善住龍王為	002	王  即 大 鹹 海 之 中 龍 王 也  須 彌 藏 經 云  善住龍王 為 
ZH_X88_1658_002:0434c01	一切象龍主。婆難陀龍王為一切蛇龍主。阿耨達龍	002	一 切 象 龍 主  婆 難 陀 龍 王 為 一 切 蛇 龍 主  阿 耨 達 龍 
ZH_X88_1658_002:0434c02	王為一切馬龍主。婆樓那龍王為一切魚龍主。摩那	002	王 為 一 切 馬 龍 主  婆 樓 那 龍 王 為 一 切 魚 龍 主  摩 那 
ZH_X88_1658_002:0434c03	蘇婆帝龍王為一切蝦蟇龍主。又孔雀經列一百七	002	蘇 婆 帝 龍 王 為 一 切 蝦 蟇 龍 主  又 孔 雀 經 列 一 百 七 
ZH_X88_1658_002:0434c04	十七龍王。今娑竭羅當第七位。居大海龍王之次。大	002	十 七 龍 王  今 娑 竭 羅 當 第 七 位  居 大 海 龍 王 之 次  大 
ZH_X88_1658_002:0434c05	雲經列百七十餘龍王。當第三位。今所以獨供娑竭	002	雲 經 列 百 七 十 餘 龍 王  當 第 三 位  今 所 以 獨 供 娑 竭 
ZH_X88_1658_002:0434c06	羅者。一是蛇龍之主。為龍本類故。二是大權之中。每	002	羅 者  一 是 蛇 龍 之 主  為 龍 本 類 故  二 是 大 權 之 中  每 
ZH_X88_1658_002:0434c07	對佛弘護故。三佛之法寶在其宮故。四自唐已來徧	002	對 佛 弘 護 故  三 佛 之 法 寶 在 其 宮 故  四 自 唐 已 來 徧 
ZH_X88_1658_002:0434c08	靈應故。由集要云。蛇龍乃其本類。餘皆旁類也。故知	002	靈 應 故  由 集 要 云  蛇 龍 乃 其 本 類  餘 皆 旁 類 也  故 知 
ZH_X88_1658_002:0434c09	為五龍之主耳。又如海龍王經．法華．華嚴．大集偏稱	002	為 五 龍 之 主 耳  又 如 海 龍 王 經  法 華  華 嚴  大 集 偏 稱 
ZH_X88_1658_002:0434c10	此位。故知大權弘護力勝。又如龍樹入其宮。見法堂	002	此 位  故 知 大 權 弘 護 力 勝  又 如 龍 樹 入 其 宮  見 法 堂 
ZH_X88_1658_002:0434c11	無量。法華中文殊師利所化八歲龍女。即娑竭羅王	002	無 量  法 華 中 文 殊 師 利 所 化 八 歲 龍 女  即 娑 竭 羅 王 
ZH_X88_1658_002:0434c12	之女。大集亦云娑竭羅龍王有子。名青蓮華。面身相	002	之 女  大 集 亦 云 娑 竭 羅 龍 王 有 子  名 青 蓮 華  面 身 相 
ZH_X88_1658_002:0434c13	端正等。處胎經云。吾於海中與龍說法。無數龍神龍	002	端 正 等  處 胎 經 云  吾 於 海 中 與 龍 說 法  無 數 龍 神 龍 
ZH_X88_1658_002:0434c14	子得道。吾留金色全身舍利百三十枚令供養之。故	002	子 得 道  吾 留 金 色 全身舍利 百 三 十 枚 令 供 養 之  故 
ZH_X88_1658_002:0434c15	知佛之法寶在其宮中。又帝心尊者北塔銘云。唐大	002	知 佛 之 法 寶 在 其 宮 中  又 帝 心 尊 者 北 塔 銘 云  唐 大 
ZH_X88_1658_002:0434c16	宗朝大旱。諸處祈禱無感。遂遣中使命順和尚祈雨。	002	宗 朝 大 旱  諸 處 祈 禱 無 感  遂 遣 中 使 命 順 和 尚 祈 雨  
ZH_X88_1658_002:0434c17	順令中使往抱腹山草庵中。有老僧著木履行道。可	002	順 令 中 使 往 抱 腹 山 草 庵 中  有 老 僧 著 木 履 行 道  可 
ZH_X88_1658_002:0434c18	云終南山杜順和尚伸意。天久不雨。願降甘澤。使至	002	云 終 南 山 杜 順 和 尚 伸 意  天 久 不 雨  願 降 甘 澤  使 至 
ZH_X88_1658_002:0434c19	果如其言。即述前語。老僧乃云。大凡降雨。須天符牒。	002	果 如 其 言  即 述 前 語  老 僧 乃 云  大 凡 降 雨  須 天 符 牒  
ZH_X88_1658_002:0434c20	今雖無天符。順和尚有旨。則如天符牒無異。汝可速	002	今 雖 無 天 符  順 和 尚 有 旨  則 如 天 符 牒 無 異  汝 可 速 
ZH_X88_1658_002:0434c21	回。使回至都。雨即隨至。太宗遣使往謝。順問老僧何	002	回  使 回 至 都  雨 即 隨 至  太 宗 遣 使 往 謝  順 問 老 僧 何 
ZH_X88_1658_002:0434c22	人。順乃云龍王也。遂遣使抱腹山。傳宣使至。止見草	002	人  順 乃 云 龍 王 也  遂 遣 使 抱 腹 山  傳 宣 使 至  止 見 草 
ZH_X88_1658_002:0434c23	木深林。初無草庵。遂賜順為帝心禪師焉。大凡諸龍	002	木 深 林  初 無 草 庵  遂 賜 順 為 帝 心 禪 師 焉  大 凡 諸 龍 
ZH_X88_1658_002:0434c24	業報不一。如薰聞記說龍有四種。一守護天宮持令	002	業 報 不 一  如 薰 聞 記 說 龍 有 四 種  一 守 護 天 宮 持 令 
ZH_X88_1658_002:0435a01	不落。二興雲致雨。三蛇龍決江開瀆。四伏藏龍主輪	002	不 落  二 興 雲 致 雨  三 蛇 龍 決 江 開 瀆  四 伏 藏 龍 主 輪 
ZH_X88_1658_002:0435a02	王及福德人藏。淨名疏云。龍是畜生道。正報似蛇。依	002	王 及 福 德 人 藏  淨 名 疏 云  龍 是 畜 生 道  正 報 似 蛇  依 
ZH_X88_1658_002:0435a03	報七寶宮殿。與天無異。亦能變形。為端正人。通胎卵	002	報 七 寶 宮 殿  與 天 無 異  亦 能 變 形  為 端 正 人  通 胎 卵 
ZH_X88_1658_002:0435a04	濕化四種生。壽一中劫(二十增減為一中劫)。壽盡為金翅之鳥	002	濕 化 四 種 生  壽 一 中 劫  二 十 增 減 為 一 中 劫   壽 盡 為 金 翅 之 鳥 
ZH_X88_1658_002:0435a05	所食。僧護經云。龍有五法不能隱身。一者生時。二者	002	所 食  僧 護 經 云  龍 有 五 法 不 能 隱 身  一 者 生 時  二 者 
ZH_X88_1658_002:0435a06	死時。三者睡時。四者瞋時。五者交時。迦葉詰難陀經	002	死 時  三 者 睡 時  四 者 瞋 時  五 者 交 時  迦 葉 詰 難 陀 經 
ZH_X88_1658_002:0435a07	云。龍有三苦。一者雖食百味飲。入口即化為蝦蟇。二	002	云  龍 有 三 苦  一 者 雖 食 百 味 飲  入 口 即 化 為 蝦 蟇  二 
ZH_X88_1658_002:0435a08	婇女端正。欲為夫歸。二蛇相交。三背道布鱗。沙石生	002	婇 女 端 正  欲 為 夫 歸  二 蛇 相 交  三 背 道 布 鱗  沙 石 生 
ZH_X88_1658_002:0435a09	其中。痛乃連心。僧祇律云一。日之中三過皮肉落熱	002	其 中  痛 乃 連 心  僧 祇 律 云 一  日 之 中 三 過 皮 肉 落 熱 
ZH_X88_1658_002:0435a10	沙薄身。海龍王經云。昔在人中作大福田。受天福故。	002	沙 薄 身  海 龍 王 經 云  昔 在 人 中 作 大 福 田  受 天 福 故  
ZH_X88_1658_002:0435a11	神受自在。不持齋戒。受惡報身。金翅鳥日食五百水	002	神 受 自 在  不 持 齋 戒  受 惡 報 身  金 翅 鳥 日 食 五 百 水 
ZH_X88_1658_002:0435a12	龍。一龍王能受八戒。則免斯害。具如菩薩處胎經說。	002	龍  一 龍 王 能 受 八 戒  則 免 斯 害  具 如 菩 薩 處 胎 經 說  
ZH_X88_1658_002:0435a13	又若得袈裟一片一縷安於身上。亦可得免。僧祇律	002	又 若 得 袈 裟 一 片 一 縷 安 於 身 上  亦 可 得 免  僧 祇 律 
ZH_X88_1658_002:0435a14	云。往因布施。今日奉養。同天神力。廣大龍宮。飲食有	002	云  往 因 布 施  今 日 奉 養  同 天 神 力  廣 大 龍 宮  飲 食 有 
ZH_X88_1658_002:0435a15	能盡壽銷者。有二十年銷者。有七年銷者。今娑竭羅	002	能 盡 壽 銷 者  有 二 十 年 銷 者  有 七 年 銷 者  今 娑 竭 羅 
ZH_X88_1658_002:0435a16	龍王乃大權菩薩現此龍身。故華嚴說位皆十地。住	002	龍 王 乃 大 權 菩 薩 現 此 龍 身  故 華 嚴 說 位 皆 十 地  住 
ZH_X88_1658_002:0435a17	不思議解脫。欲降雨時。三日之中先布密雲。所降之	002	不思議解脫  欲 降 雨 時  三 日 之 中 先 布 密 雲  所 降 之 
ZH_X88_1658_002:0435a18	雨不從口出。不從身出。端坐深宮。舉念之時其雨普	002	雨 不 從 口 出  不 從 身 出  端 坐 深 宮  舉 念 之 時 其 雨 普 
ZH_X88_1658_002:0435a19	洽。竪亘六天。橫徧四域。以時雨霪無所夭害。位居十	002	洽  竪 亘 六 天  橫 徧 四 域  以 時 雨 霪 無 所 夭 害  位 居 十 
ZH_X88_1658_002:0435a20	地。迹示龍身。護法護民。其利博矣。讚曰。	002	地  迹 示 龍 身  護 法 護 民  其 利 博 矣  讚 曰  
ZH_X88_1658_002:0435a21	　娑竭羅王主蛇龍　　弘護佛法使興隆	002	 娑 竭 羅 王 主 蛇 龍   弘 護 佛 法 使 興 隆 
ZH_X88_1658_002:0435a22	　大唐已來多感應　　故今法會仰深功	002	 大 唐 已 來 多 感 應   故 今 法 會 仰 深 功 
ZH_X88_1658_002:0435a23	　有女八歲成正覺　　青蓮華子美儀容	002	 有 女 八 歲 成 正 覺   青 蓮 華 子 美 儀 容 
ZH_X88_1658_002:0435a24	　佛至其宮宣妙法　　金色舍利留其宮	002	 佛 至 其 宮 宣 妙 法   金 色 舍 利 留 其 宮 
ZH_X88_1658_002:0435b01	　唐初昔年因亢旱　　曾蒙杜順指其蹤	002	 唐 初 昔 年 因 亢 旱   曾 蒙 杜 順 指 其 蹤 
ZH_X88_1658_002:0435b02	　天使往見於僧相　　即時甘澤降靈空	002	 天 使 往 見 於 僧 相   即 時 甘 澤 降 靈 空 
ZH_X88_1658_002:0435b03	　大抵群龍非一類　　胎卵濕化生非同	002	 大 抵 群 龍 非 一 類   胎 卵 濕 化 生 非 同 
ZH_X88_1658_002:0435b04	　正報乃蛇受天福　　金翅來吞而壽終	002	 正 報 乃 蛇 受 天 福   金 翅 來 吞 而 壽 終 
ZH_X88_1658_002:0435b05	　三種苦相誠難受　　五不能隱事須從	002	 三 種 苦 相 誠 難 受   五 不 能 隱 事 須 從 
ZH_X88_1658_002:0435b06	　獨有大權垂化迹　　位居十地報難窮	002	 獨 有 大 權 垂 化 迹   位 居 十 地 報 難 窮 
ZH_X88_1658_002:0435b07	　欲降雨時身不動　　先布密雲三日中	002	 欲 降 雨 時 身 不 動   先 布 密 雲 三 日 中 
ZH_X88_1658_002:0435b08	　舉念之間洽遐邇　　百穀咸秀使年豐	002	 舉 念 之 間 洽 遐 邇   百 穀 咸 秀 使 年 豐 
ZH_X88_1658_002:0435b09	　如是利生無礙力　　願臨佛會賜靈通	002	 如 是 利 生 無 礙 力   願 臨 佛 會 賜 靈 通 
ZH_X88_1658_002:0435b10	閻摩羅王傳	002	閻 摩 羅 王 傳 
ZH_X88_1658_002:0435b11	梵語閻摩羅。或閻摩杜羅。或夜魔盧迦。俱舍論云。閻	002	梵 語 閻 摩 羅  或 閻 摩 杜 羅  或 夜 魔 盧 迦  俱 舍 論 云  閻 
ZH_X88_1658_002:0435b12	羅。或云琰摩羅。藥師經云。琰摩。乃經論互出不同。或	002	羅  或 云 琰 摩 羅  藥 師 經 云  琰 摩  乃 經 論 互 出 不 同  或 
