segmentnr	original	folio	analyzed
ZH_X62_1173_003:0117c20	必吾子釋迦如來入涅槃之兆也。俄而阿那律尊者。	003	必 吾 子 釋 迦 如 來 入 涅 槃 之 兆 也  俄 而 阿 那 律 尊 者  
ZH_X62_1173_003:0117c21	果然昇天來報矣。世間毀謗三寶之書。皆挑去人之	003	果 然 昇 天 來 報 矣  世 間 毀 謗 三 寶 之 書  皆 挑 去 人 之 
ZH_X62_1173_003:0117c22	眼目者也。末劫之人。福力愈淺。則此種書籍愈多。智	003	眼 目 者 也  末 劫 之 人  福 力 愈 淺  則 此 種 書 籍 愈 多  智 
ZH_X62_1173_003:0117c23	慧愈微。則奉此種書籍者愈眾。故有福之人。必須早	003	慧 愈 微  則 奉 此 種 書 籍 者 愈 眾  故 有 福 之 人  必 須 早 
ZH_X62_1173_003:0117c24	自覺悟。不被其挑。固為上也。倘或已經挑傷。宜速以	003	自 覺 悟  不 被 其 挑  固 為 上 也  倘 或 已 經 挑 傷  宜 速 以 
ZH_X62_1173_003:0118a01	妙藥塗之。藥何在。此書亦其一也。	003	妙 藥 塗 之  藥 何 在  此 書 亦 其 一 也  
ZH_X62_1173_003:0118a02	有願必遂	003	有 願 必 遂 
ZH_X62_1173_003:0118a03	宋呂文正公蒙正。字聖功。太宗時。舉進士第一。封許	003	宋 呂 文 正 公 蒙 正  字 聖 功  太 宗 時  舉 進 士 第 一  封 許 
ZH_X62_1173_003:0118a04	國公。每晨興禮佛時。必祝云。不信佛者。勿生吾家。願	003	國 公  每 晨 興 禮 佛 時  必 祝 云  不 信 佛 者  勿 生 吾 家  願 
ZH_X62_1173_003:0118a05	吾子孫。世食天祿。護持三寶。後從子夷簡。封申國公。	003	吾 子 孫  世 食 天 祿  護 持 三 寶  後 從 子 夷 簡  封 申 國 公  
ZH_X62_1173_003:0118a06	每遇元日拜家廟後。即叩禮廣慧禪師。申公之子公	003	每 遇 元 日 拜 家 廟 後  即 叩 禮 廣 慧 禪 師  申 公 之 子 公 
ZH_X62_1173_003:0118a07	著。亦封申國公。於天衣禪師亦如之。左丞好問。於圓	003	著  亦 封 申 國 公  於 天 衣 禪 師 亦 如 之  左 丞 好 問  於 圓 
ZH_X62_1173_003:0118a08	照禪師亦如之。左丞之子用中。於佛照禪師亦如之。	003	照 禪 師 亦 如 之  左 丞 之 子 用 中  於 佛 照 禪 師 亦 如 之  
ZH_X62_1173_003:0118a09	世世貴顯奉佛。果符公願。夫文正所期。不過世願。猶	003	世 世 貴 顯 奉 佛  果 符 公 願  夫 文 正 所 期  不 過 世 願  猶 
ZH_X62_1173_003:0118a10	能成就。何況發菩提心。願生安養。而不遂其所求乎。	003	能 成 就  何 況 發菩提心  願 生 安 養  而 不 遂 其 所 求 乎  
ZH_X62_1173_003:0118a11	為僧者不可不修淨土	003	為 僧 者 不 可 不 修 淨 土 
ZH_X62_1173_003:0118a12	宋青草堂禪師。素有戒行。年九十餘。曾氏常供養之。	003	宋 青 草 堂 禪 師  素 有 戒 行  年 九 十 餘  曾 氏 常 供 養 之  
ZH_X62_1173_003:0118a13	屢施衣物。僧感其德。許以托生其家。後曾氏婦人生	003	屢 施 衣 物  僧 感 其 德  許 以 托 生 其 家  後 曾 氏 婦 人 生 
ZH_X62_1173_003:0118a14	子。使人看草堂。已坐化矣。所生子。即曾魯公也。以前	003	子  使 人 看 草 堂  已 坐 化 矣  所 生 子  即 曾 魯 公 也  以 前 
ZH_X62_1173_003:0118a15	世曾修福慧。故少年登高科。後作賢宰相。又如明末	003	世 曾 修 福 慧  故 少 年 登 高 科  後 作 賢 宰 相  又 如 明 末 
ZH_X62_1173_003:0118a16	浙江僧大成。為寺中收盞飯供眾。道經飯店史家。其	003	浙 江 僧 大 成  為 寺 中 收 盞 飯 供 眾  道 經 飯 店 史 家  其 
ZH_X62_1173_003:0118a17	家奉佛。僧來化齋者必留。大成收飯回寺。史見其日	003	家 奉 佛  僧 來 化 齋 者 必 留  大 成 收 飯 回 寺  史 見 其 日 
ZH_X62_1173_003:0118a18	飯少。輒以其飯湊滿。史家素無子。後其妻忽有孕。分	003	飯 少  輒 以 其 飯 湊 滿  史 家 素 無 子  後 其 妻 忽 有 孕  分 
ZH_X62_1173_003:0118a19	娩時。親見大成走入臥房。急追問之。不得。而分娩者	003	娩 時  親 見 大 成 走 入 臥 房  急 追 問 之  不 得  而 分 娩 者 
ZH_X62_1173_003:0118a20	竟產一男。是日。大成僧不見來取飯。造寺問之。乃知	003	竟 產 一 男  是 日  大 成 僧 不 見 來 取 飯  造 寺 問 之  乃 知 
ZH_X62_1173_003:0118a21	即於是日謝世。於是即以大成名之。其子幼年。聰慧	003	即 於 是 日 謝 世  於 是 即 以 大 成 名 之  其 子 幼 年  聰 慧 
ZH_X62_1173_003:0118a22	孝友。茹胎齋。終身不破戒。以順治乙未。大魁天下。自	003	孝 友  茹 胎 齋  終 身 不 破 戒  以 順 治 乙 未  大 魁 天 下  自 
ZH_X62_1173_003:0118a23	世俗觀之。此兩公者。皆富貴而享大名。若修行人觀	003	世 俗 觀 之  此 兩 公 者  皆 富 貴 而 享 大 名  若 修 行 人 觀 
ZH_X62_1173_003:0118a24	之。兩僧之自誤者多矣。向使兩師知有西方法門。以	003	之  兩 僧 之 自 誤 者 多 矣  向 使 兩 師 知 有 西 方 法 門  以 
ZH_X62_1173_003:0118b01	其所修者。回向淨土。縱或不能上品。猶或可以中品。	003	其 所 修 者  回 向 淨 土  縱 或 不 能 上 品  猶 或 可 以 中 品  
ZH_X62_1173_003:0118b02	何至僅以狀元宰相竟其局哉。	003	何 至 僅 以 狀 元 宰 相 竟 其 局 哉  
ZH_X62_1173_003:0118b03	高僧亦宜修淨土	003	高 僧 亦 宜 修 淨 土 
ZH_X62_1173_003:0118b04	隋相州釋玄景。宗教俱通。道風遐播。大業二年六月。	003	隋 相 州 釋 玄 景  宗 教 俱 通  道 風 遐 播  大 業 二 年 六 月  
ZH_X62_1173_003:0118b05	將欲示寂。沐浴端坐。兩目上視。忽自言曰。吾欲生兜	003	將 欲 示 寂  沐 浴 端 坐  兩 目 上 視  忽 自 言 曰  吾 欲 生 兜 
ZH_X62_1173_003:0118b06	率內院。見彌勒菩薩。云何乃作夜摩天王。眾問之。曰	003	率 內 院  見 彌 勒 菩 薩  云 何 乃 作 夜摩天王  眾 問 之  曰 
ZH_X62_1173_003:0118b07	非爾所知也。頃之。又云。天上甚忙。賓客甚多。遂坐而	003	非 爾 所 知 也  頃 之  又 云  天 上 甚 忙  賓 客 甚 多  遂 坐 而 
ZH_X62_1173_003:0118b08	逝。嗟乎。師修行時。固發心見彌勒。到此不能見彌勒。	003	逝  嗟 乎  師 修 行 時  固 發 心 見 彌 勒  到 此 不 能 見 彌 勒  
ZH_X62_1173_003:0118b09	而轉作天王者也。自世俗觀之。其位已在上帝之上	003	而 轉 作 天 王 者 也  自 世 俗 觀 之  其 位 已 在 上 帝 之 上 
ZH_X62_1173_003:0118b10	矣。然較之生於西方。則遠不逮也。是知高僧亦不可	003	矣  然 較 之 生 於 西 方  則 遠 不 逮 也  是 知 高 僧 亦 不 可 
ZH_X62_1173_003:0118b11	不修淨土也。	003	不 修 淨 土 也  
ZH_X62_1173_003:0118b12	不可甘心作鬼	003	不 可 甘 心 作 鬼 
ZH_X62_1173_003:0118b13	大千世界一切人類。不問貴賤智愚。老幼男女。臨終	003	大千世界 一 切 人 類  不 問 貴 賤 智 愚  老 幼 男 女  臨 終 
ZH_X62_1173_003:0118b14	之後。若不出世。未有不為鬼者。勸人念佛。求生淨土。	003	之 後  若 不 出 世  未 有 不 為 鬼 者  勸 人 念 佛  求 生 淨 土  
ZH_X62_1173_003:0118b15	是勸世人不去為鬼也。小儒不信佛法。反從而謗之。	003	是 勸 世 人 不 去 為 鬼 也  小 儒 不 信 佛 法  反 從 而 謗 之  
ZH_X62_1173_003:0118b16	不唯自己甘心為鬼。并欲勸一切世人為鬼矣。其現	003	不 唯 自 己 甘 心 為 鬼  并 欲 勸 一 切 世 人 為 鬼 矣  其 現 
ZH_X62_1173_003:0118b17	在不為鬼者。特暫耳。目下林林總總一切人。即轉盼	003	在 不 為 鬼 者  特 暫 耳  目 下 林 林 總 總 一 切 人  即 轉 盼 
ZH_X62_1173_003:0118b18	後林林總總一切鬼也。人惟不知甚暫。所以疲形勞	003	後 林 林 總 總 一 切 鬼 也  人 惟 不 知 甚 暫  所 以 疲 形 勞 
ZH_X62_1173_003:0118b19	神以求富貴。無論不得富貴。縱使極富極貴。當臨去	003	神 以 求 富 貴  無 論 不 得 富 貴  縱 使 極 富 極 貴  當 臨 去 
ZH_X62_1173_003:0118b20	之候。手內不能齎分文。一鬼呼之而輒去。安在其為	003	之 候  手 內 不 能 齎 分 文  一 鬼 呼 之 而 輒 去  安 在 其 為 
ZH_X62_1173_003:0118b21	富貴耶。獨有念佛之人。到此無疾無災。安然脫化。身	003	富 貴 耶  獨 有 念 佛 之 人  到 此 無 疾 無 災  安 然 脫 化  身 
ZH_X62_1173_003:0118b22	無一切病苦厄難。心無一切貪戀迷惑。惡鬼覩影潛	003	無 一 切 病 苦 厄 難  心 無 一 切 貪 戀 迷 惑  惡 鬼 覩 影 潛 
ZH_X62_1173_003:0118b23	踪。閻老聞名頂禮。豈非超然出世之大丈夫乎。人惟	003	踪  閻 老 聞 名 頂 禮  豈 非 超 然 出 世 之 大 丈 夫 乎  人 惟 
ZH_X62_1173_003:0118b24	如是。而後始能不作鬼也。則夫不作鬼者誠非易也。	003	如 是  而 後 始 能 不 作 鬼 也  則 夫 不 作 鬼 者 誠 非 易 也  
ZH_X62_1173_003:0118c01	九類皆當往生	003	九 類 皆 當 往 生 
ZH_X62_1173_003:0118c02	九類者。所謂胎生。卵生。濕生。化生。有色。無色。有想。無	003	九 類 者  所 謂 胎 生  卵 生  濕 生  化 生  有 色  無 色  有 想  無 
ZH_X62_1173_003:0118c03	想。非有想非無想也。九類。則盡乎貴賤幽明。及天上	003	想  非 有 想 非 無 想 也  九 類  則 盡 乎 貴 賤 幽 明  及 天 上 
ZH_X62_1173_003:0118c04	天下之數矣。九類之中。最苦者。三惡道。最樂者。三界	003	天 下 之 數 矣  九 類 之 中  最 苦 者  三 惡 道  最 樂 者  三 界 
ZH_X62_1173_003:0118c05	二十八天。止因未出生死。所以輪迴六道。是苦者固	003	二十八天  止 因 未 出 生 死  所 以 輪 迴 六 道  是 苦 者 固 
ZH_X62_1173_003:0118c06	苦。樂者亦苦也。縱使長壽諸天。現享無涯之樂。然而	003	苦  樂 者 亦 苦 也  縱 使 長壽諸天  現 享 無 涯 之 樂  然 而 
ZH_X62_1173_003:0118c07	天福報盡。仍墮三途。豈若極樂國土之永脫輪迴。長	003	天 福 報 盡  仍 墮 三 途  豈 若 極樂國土 之 永 脫 輪 迴  長 
ZH_X62_1173_003:0118c08	辭六趣乎。余嘗於文昌。關帝。東嶽。廟中進香。禮拜之	003	辭 六 趣 乎  余 嘗 於 文 昌  關 帝  東 嶽  廟 中 進 香  禮 拜 之 
ZH_X62_1173_003:0118c09	後。必祝云。願帝君尊信三寶。發菩提心。往生西方。行	003	後  必 祝 云  願 帝 君 尊 信 三 寶  發菩提心  往 生 西 方  行 
ZH_X62_1173_003:0118c10	菩薩道。又嘗頂禮斗母尊天。及昊天上帝。雖誠惶誠	003	菩 薩 道  又 嘗 頂 禮 斗 母 尊 天  及 昊 天 上 帝  雖 誠 惶 誠 
ZH_X62_1173_003:0118c11	恐。稽首頓首之後。亦願至尊念佛往生。行菩薩道。廣	003	恐  稽 首 頓 首 之 後  亦 願 至 尊 念 佛 往 生  行菩薩道  廣 
ZH_X62_1173_003:0118c12	度一切。何以故。祇因有智慧人。看得世間極高明事。	003	度 一 切  何 以 故  祇 因 有 智 慧 人  看 得 世 間 極 高 明 事  
ZH_X62_1173_003:0118c13	無如念佛。最有福事。莫若往生。念佛往生。非一切福	003	無 如 念 佛  最 有 福 事  莫 若 往 生  念 佛 往 生  非 一 切 福 
ZH_X62_1173_003:0118c14	德所可比儗者也。斗母尊天。即經中摩利支天菩薩。	003	德 所 可 比 儗 者 也  斗 母 尊 天  即 經 中 摩 利 支 天 菩 薩  
ZH_X62_1173_003:0118c15	昊天上帝。即經中所稱忉利天王。世尊每說法時。忉	003	昊 天 上 帝  即 經 中 所 稱 忉 利 天 王  世 尊 每 說 法 時  忉 
ZH_X62_1173_003:0118c16	利天王。無不恭敬禮拜。侍立左右。今日聞此默祝。必	003	利 天 王  無 不 恭敬禮拜  侍 立 左 右  今 日 聞 此 默 祝  必 
ZH_X62_1173_003:0118c17	然歡喜。斷無反開罪戾之事。吾輩幸而遇此法門。不	003	然 歡 喜  斷 無 反 開 罪 戾 之 事  吾 輩 幸 而 遇 此 法 門  不 
ZH_X62_1173_003:0118c18	思勇猛精進。回向菩提。豈非如來所稱最可憐憫者	003	思 勇猛精進  回 向 菩 提  豈 非 如 來 所 稱 最 可 憐 憫 者 
ZH_X62_1173_003:0118c19	乎。	003	乎  
ZH_X62_1173_003:0118c20	念佛無枉用之力	003	念 佛 無 枉 用 之 力 
ZH_X62_1173_003:0118c21	世俗之事。謀而不成。則前功盡棄。獨有念佛。縱有始	003	世 俗 之 事  謀 而 不 成  則 前 功 盡 棄  獨 有 念 佛  縱 有 始 
ZH_X62_1173_003:0118c22	無終。而從前所念。亦決不枉費。昔有樵夫。遇虎登樹。	003	無 終  而 從 前 所 念  亦 決 不 枉 費  昔 有 樵 夫  遇 虎 登 樹  
ZH_X62_1173_003:0118c23	一稱南無佛。多生多劫後。猶賴之以出家。漸至成佛	003	一 稱 南 無 佛  多 生 多 劫 後  猶 賴 之 以 出 家  漸 至 成 佛 
ZH_X62_1173_003:0118c24	者。何況精誠一世乎。即或現世不能往生。來世必出	003	者  何 況 精 誠 一 世 乎  即 或 現 世 不 能 往 生  來 世 必 出 
ZH_X62_1173_003:0119a01	生死。非如世俗之讀書不就。枉費精神。經營不就。反	003	生 死  非 如 世 俗 之 讀 書 不 就  枉 費 精 神  經 營 不 就  反 
ZH_X62_1173_003:0119a02	虧貲本也。	003	虧 貲 本 也  
ZH_X62_1173_003:0119a03	人間勝事無如念佛	003	人 間 勝 事 無 如 念 佛 
ZH_X62_1173_003:0119a04	譬喻經云。昔有夫妻二人。禱天求子。婦即懷娠。生四	003	譬 喻 經 云  昔 有 夫 妻 二 人  禱 天 求 子  婦 即 懷 娠  生 四 
ZH_X62_1173_003:0119a05	種物。一栴檀米斗。二甘露蜜瓶。三珍寶錦囊。四七節	003	種 物  一 栴 檀 米 斗  二 甘 露 蜜 瓶  三 珍 寶 錦 囊  四 七 節 
ZH_X62_1173_003:0119a06	神杖。其人歎曰。吾本求子。何用此種物。天神問曰。汝	003	神 杖  其 人 歎 曰  吾 本 求 子  何 用 此 種 物  天 神 問 曰  汝 
ZH_X62_1173_003:0119a07	欲得子何為。其人曰。吾欲得子。將來望其養育耳。神	003	欲 得 子 何 為  其 人 曰  吾 欲 得 子  將 來 望 其 養 育 耳  神 
ZH_X62_1173_003:0119a08	曰。斗中之米。取之復盈。甘露瓶中。能消百病。珍寶之	003	曰  斗 中 之 米  取 之 復 盈  甘 露 瓶 中  能 消 百 病  珍 寶 之 
ZH_X62_1173_003:0119a09	囊。用之不竭。七節神杖。以備凶暴。人間孝子豈能如	003	囊  用 之 不 竭  七 節 神 杖  以 備 凶 暴  人 間 孝 子 豈 能 如 
ZH_X62_1173_003:0119a10	是。其人大喜。遂致殷富。其後他國聞之。遣兵往奪。其	003	是  其 人 大 喜  遂 致 殷 富  其 後 他 國 聞 之  遣 兵 往 奪  其 
ZH_X62_1173_003:0119a11	人擎杖。飛行擊退。保之終身。世人孜孜汲汲。無暇修	003	人 擎 杖  飛 行 擊 退  保 之 終 身  世 人 孜 孜 汲 汲  無 暇 修 
ZH_X62_1173_003:0119a12	行者。不過為一妻子耳。然妻子縱極趨奉。安能若此	003	行 者  不 過 為 一 妻 子 耳  然 妻 子 縱 極 趨 奉  安 能 若 此 
ZH_X62_1173_003:0119a13	四物哉。至於往生西方。則超出生死。萬福莊嚴。所求	003	四 物 哉  至 於 往 生 西 方  則 超 出 生 死  萬 福 莊 嚴  所 求 
ZH_X62_1173_003:0119a14	如意。又豈四物之所可較量哉。故天上人間。第一勝	003	如 意  又 豈 四 物 之 所 可 較 量 哉  故 天 上 人 間  第 一 勝 
ZH_X62_1173_003:0119a15	事。無如念佛。	003	事  無 如 念 佛  
ZH_X62_1173_003:0119a17	西歸直指卷之三	003	西 歸 直 指 卷 之 三 
